1,2,3,4,5,6,7,8,9,,,,,,,
04,000,CHANDIGARH,1901,"21,967",                     ----,                      ----," 12,402 "," 9,565 ",,,,,,,
,,,1911,"18,437","-3,530 ",-16.07 ," 10,717 "," 7,720 ",,,,,,,
,,,1921,"18,133",-304 ,-1.65 ," 10,405 "," 7,728 ",,,,,,,
,,,1931,"19,783","+1,650    ",+9.10          ," 11,300 "," 8,483 ",,,,,,,
,,,1941,"22,574","+2,791    ",+14.11          ," 12,807 "," 9,767 ",,,,,,,
,,,1951,"24,261","+1,687    ",+7.47          ," 13,623 "," 10,638 ",,,,,,,
,,,1961,"119,881","+95,620    ",+394.13          ," 72,576 "," 47,305 ",,,,,,,
,,,1971,"257,251","+137,370    ",+114.59          ," 147,080 "," 110,171 ",,,,,,,
,,,1981,"451,610","+194,359    ",+75.55          ," 255,278 "," 196,332 ",,,,,,,
,,,1991,"642,015","+190,405    ",+42.16          ," 358,614 "," 283,401 ",,,,,,,
,,,2001,"900,635","+258,620    ",+40.28          ," 506,938 "," 393,697 ",,,,,,,
,,,2011," 1,055,450 ","+154,815    ",+17.19          ," 580,663 "," 474,787 ",,,,,,,
,,,,,,,,,,,,,,,
04,055,Chandigarh,1901," 21,967 ",                     ----,                      ----,"12,402","9,565",,,,,,,
,,,1911," 18,437 ","-3,530 ",-16.07 ," 10,717 "," 7,720 ",,,,,,,
,,,1921," 18,133 ",-304 ,-1.65 ," 10,405 "," 7,728 ",,,,,,,
,,,1931," 19,783 ","+1,650    ",+9.10          ," 11,300 "," 8,483 ",,,,,,,
,,,1941," 22,574 ","+2,791    ",+14.11          ," 12,807 "," 9,767 ",,,,,,,
,,,1951," 24,261 ","+1,687    ",+7.47          ," 13,623 "," 10,638 ",,,,,,,
,,,1961," 119,881 ","+95,620    ",+394.13          ," 72,576 "," 47,305 ",,,,,,,
,,,1971," 257,251 ","+137,370    ",+114.59          ," 147,080 "," 110,171 ",,,,,,,
,,,1981," 451,610 ","+194,359    ",+75.55          ," 255,278 "," 196,332 ",,,,,,,
,,,1991," 642,015 ","+190,405    ",+42.16          ," 358,614 "," 283,401 ",,,,,,,
,,,2001," 900,635 ","+258,620    ",+40.28          ," 506,938 "," 393,697 ",,,,,,,
,,,2011," 1,055,450 ","+154,815    ",+17.19          ," 580,663 "," 474,787 ",,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
