1,2,3,4,5,6,7,8,9,,,,,,,,,,,
22,000,CHHATTISGARH,1901,"4,181,554",--,--,"2,043,375","2,138,179",,,,,,,,,,,
,,,1911,"5,191,583",+1010029          ,+24.15          ,"2,545,887","2,645,696",,,,,,,,,,,
,,,1921,"5,264,976",+73393          ,+1.41          ,"2,579,793","2,685,183",,,,,,,,,,,
,,,1931,"6,028,778",+763802          ,+14.51          ,"2,951,046","3,077,732",,,,,,,,,,,
,,,1941,"6,814,886",+786108          ,+13.04          ,"3,354,378","3,460,508",,,,,,,,,,,
,,,1951,"7,456,706",+641820          ,+9.42          ,"3,683,282","3,773,424",,,,,,,,,,,
,,,1961,"9,154,498",+1697792          ,+22.77          ,"4,558,098","4,596,400",,,,,,,,,,,
,,,1971,"11,637,494",+2482996          ,+27.12          ,"5,825,084","5,812,410",,,,,,,,,,,
,,,1981,"14,010,337",+2372843          ,+20.39          ,"7,019,698","6,990,639",,,,,,,,,,,
,,,1991,"17,614,928",+3604591          ,+25.73          ,"8,872,620","8,742,308",,,,,,,,,,,
,,,2001,"20,833,803",+3218875          ,+18.27          ,"10,474,218","10,359,585",,,,,,,,,,,
,,,2011,"25,545,198",+4711395          ,+22.61          ,"12,832,895","12,712,303",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
22,400,Koriya  ,1901,"83,058",--,--,"42,159","40,899",,,,,,,,,,,
,,,1911,"105,490",+22432          ,+27.01          ,"53,656","51,834",,,,,,,,,,,
,,,1921,"98,009","-7,481",-7.09,"50,036","47,973",,,,,,,,,,,
,,,1931,"126,152",+28143          ,+28.71          ,"64,219","61,933",,,,,,,,,,,
,,,1941,"143,298",+17146          ,+13.59          ,"73,471","69,827",,,,,,,,,,,
,,,1951,"168,307",+25009          ,+17.45          ,"86,236","82,071",,,,,,,,,,,
,,,1961,"231,674",+63367          ,+37.65          ,"123,200","108,474",,,,,,,,,,,
,,,1971,"291,074",+59400          ,+25.64          ,"151,150","139,924",,,,,,,,,,,
,,,1981,"384,750",+93676          ,+32.18          ,"199,699","185,051",,,,,,,,,,,
,,,1991,"500,758",+116008          ,+30.15          ,"260,061","240,697",,,,,,,,,,,
,,,2001,"586,327",+85569          ,+17.09          ,"301,251","285,076",,,,,,,,,,,
,,,2011,"658,917",+72590          ,+12.38          ,"334,737","324,180",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
22,401,Surguja  ,1901,"322,614",--,--,"163,753","158,861",,,,,,,,,,,
,,,1911,"409,741",+87127          ,+27.01          ,"208,411","201,330",,,,,,,,,,,
,,,1921,"380,685","-29,056",-7.09,"194,350","186,335",,,,,,,,,,,
,,,1931,"489,995",+109310          ,+28.71          ,"249,439","240,556",,,,,,,,,,,
