1,2,3,4,5,6,7,8,9
,,,,,,,,
30,000,GOA,1900,475513,-,-,227393,248120
,,,1910,486752,"+11,239    ",+2.36          ,230923,255829
,,,1921,469494,"-17,258 ",-3.55 ,221429,248065
,,,1931,505281,"+35,787    ",+7.62          ,241936,263345
,,,1940,540925,"+35,644    ",+7.05          ,259591,281334
,,,1950,547448,"+6,523    ",+1.21          ,257267,290181
,,,1960,589997,"+42,549    ",+7.77          ,285625,304372
,,,1971,795120,"+205,123    ",+34.77          ,401362,393758
,,,1981,1007749,"+212,629    ",+26.74          ,510152,497597
,,,1991,1169793,"+162,044    ",+16.08          ,594790,575003
,,,2001,1347668,"+177,875    ",+15.21          ,687248,660420
,,,2011," 1,458,545 "," 110,877 ",+8.23          ," 739,140 "," 719,405 "
,,,,,,,,
30,585,North Goa,1900,294074,-,-,139914,154160
,,,1910,306323,"+12,249    ",+4.17          ,144619,161704
,,,1921,288039,"-18,284 ",-5.97 ,133710,154329
,,,1931,313614,"+25,575    ",+8.88          ,148539,165075
,,,1940,336628,"+23,014    ",+7.34          ,160320,176308
,,,1950,330874,"-5,754 ",-1.71 ,154459,176415
,,,1960,349667,"+18,793    ",+5.68          ,167849,181818
,,,1971,458312,"+108,645    ",+31.07          ,229394,228918
,,,1981,568021,"+109,709    ",+23.94          ,287083,280938
,,,1991,664804,"+96,783    ",+17.04          ,338620,326184
,,,2001,758573,"+93,769    ",+14.10          ,388502,370071
,,,2011," 818,008 "," 59,435 ",+7.84          ," 416,677 "," 401,331 "
,,,,,,,,
30,586,South Goa,1900,181439,-,-,87479,93960
,,,1910,180429,"-1,010 ",-0.56 ,86304,94125
,,,1921,181455,"+1,026    ",+.57          ,87719,93736
,,,1931,191667,"+10,212    ",+5.63          ,93397,98270
,,,1940,204297,"+12,630    ",+6.59          ,99271,105026
,,,1950,216574,"+12,277    ",+6.01          ,102808,113766
,,,1960,240330,"+23,756    ",+10.97          ,117776,122554
,,,1971,336808,"+96,478    ",+40.14          ,171968,164840
,,,1981,439728,"+102,920    ",+30.56          ,223069,216659
,,,1991,504989,"+65,261    ",+14.84          ,256170,248819
,,,2001,589095,"+84,106    ",+16.66          ,298746,290349
,,,2011," 640,537 "," 51,442 ",+8.73          ," 322,463 "," 318,074 "
,,,,,,,,
