1,2,3,4,5,6,7,8,9,,,,,,,,,,,
24,000,GUJARAT,1901," 9,094,748 ",            ----- ,           ----- ," 4,654,875 "," 4,439,873 ",,,,,,,,,,,
,, ,1911," 9,803,587 ","+708,839    ",+7.79          ," 5,037,852 "," 4,765,735 ",,,,,,,,,,,
,,,1921," 10,174,989 ","+371,402    ",+3.79          ," 5,233,462 "," 4,941,527 ",,,,,,,,,,,
,,,1931," 11,489,828 ","+1,314,839    ",+12.92          ," 5,906,646 "," 5,583,182 ",,,,,,,,,,,
,,,1941," 13,701,551 ","+2,211,723    ",+19.25          ," 7,060,352 "," 6,641,199 ",,,,,,,,,,,
,,,1951," 16,262,657 ","+2,561,106    ",+18.69          ," 8,331,922 "," 7,930,735 ",,,,,,,,,,,
,,,1961," 20,633,350 ","+4,370,693    ",+26.88          ," 10,633,902 "," 9,999,448 ",,,,,,,,,,,
,,,1971," 26,697,475 ","+6,064,125    ",+29.39          ," 13,802,494 "," 12,894,981 ",,,,,,,,,,,
,,,1981," 34,085,799 ","+7,388,324    ",+27.67          ," 17,552,640 "," 16,533,159 ",,,,,,,,,,,
,,,1991," 41,309,582 ","+7,223,783    ",+21.19          ," 21,355,209 "," 19,954,373 ",,,,,,,,,,,
,,,2001," 50,671,017 ","+9,361,435    ",+22.66          ," 26,385,577 "," 24,285,440 ",,,,,,,,,,,
,,,2011," 60,439,692 ","+9,768,675    ",+19.28          ," 31,491,260 "," 28,948,432 ",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
24,468,Kachchh ,1901," 488,022 ",            ----- ,           ----- ," 244,643 "," 243,379 ",,,,,,,,,,,
,,,1911," 513,429 ","+25,407    ",+5.21          ," 252,453 "," 260,976 ",,,,,,,,,,,
,,,1921," 484,547 ","-28,882 ",-5.63 ," 235,363 "," 249,184 ",,,,,,,,,,,
,,,1931," 520,496 ","+35,949    ",+7.42          ," 251,909 "," 268,587 ",,,,,,,,,,,
,,,1941," 507,880 ","-12,616 ",-2.42 ," 242,421 "," 265,459 ",,,,,,,,,,,
,,,1951," 567,606 ","+59,726    ",+11.76          ," 272,977 "," 294,629 ",,,,,,,,,,,
,,,1961," 696,440 ","+128,834    ",+22.70          ," 341,224 "," 355,216 ",,,,,,,,,,,
,,,1971," 849,769 ","+153,329    ",+22.02          ," 422,257 "," 427,512 ",,,,,,,,,,,
,,,1981," 1,050,161 ","+200,392    ",+23.58          ," 525,431 "," 524,730 ",,,,,,,,,,,
,,,1991," 1,262,507 ","+212,346    ",+20.22          ," 642,823 "," 619,684 ",,,,,,,,,,,
,,,2001," 1,583,225 ","+320,718    ",+25.40          ," 815,152 "," 768,073 ",,,,,,,,,,,
,,,2011," 2,092,371 ","+509,146    ",+32.16          ," 1,096,737 "," 995,634 ",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
24,469,Banas Kantha,1901," 437,072 ",            ----- ,            ----- ," 227,030 "," 210,042 ",,,,,,,,,,,
,,,1911," 418,450 ","-18,622 ",-4.26 ," 217,871 "," 200,579 ",,,,,,,,,,,
,,,1921," 440,891 ","+22,441    ",+5.36          ," 229,698 "," 211,193 ",,,,,,,,,,,
,,,1931," 477,341 ","+36,450    ",+8.27          ," 246,779 "," 230,562 ",,,,,,,,,,,
,,,1941," 548,737 ","+71,396    ",+14.96          ," 281,632 "," 267,105 ",,,,,,,,,,,
,,,1951," 696,367 ","+147,630    ",+26.90          ," 356,903 "," 339,464 ",,,,,,,,,,,
,,,1961," 899,989 ","+203,622    ",+29.24          ," 462,332 "," 437,657 ",,,,,,,,,,,
,,,1971," 1,146,159 ","+246,170    ",+27.35          ," 590,534 "," 555,625 ",,,,,,,,,,,
,,,1981," 1,514,121 ","+367,962    ",+32.10          ," 777,776 "," 736,345 ",,,,,,,,,,,
,,,1991," 1,981,513 ","+467,392    ",+30.87          ," 1,024,807 "," 956,706 ",,,,,,,,,,,
,,,2001," 2,504,244 ","+522,731    ",+26.38          ," 1,297,404 "," 1,206,840 ",,,,,,,,,,,
,,,2011," 3,120,506 ","+616,262    ",+24.61          ," 1,610,379 "," 1,510,127 ",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
24,470,Patan ,1901," 295,194 ",            ----- ,            ----- ," 151,342 "," 143,852 ",,,,,,,,,,,
,,,1911," 292,196 ","-2,998 ",-1.02 ," 150,326 "," 141,870 ",,,,,,,,,,,
,,,1921," 314,709 ","+22,513    ",+7.70          ," 161,439 "," 153,270 ",,,,,,,,,,,
,,,1931," 347,220 ","+32,511    ",+10.33          ," 176,519 "," 170,701 ",,,,,,,,,,,
,,,1941," 394,301 ","+47,081    ",+13.56          ," 200,346 "," 193,955 ",,,,,,,,,,,
,,,1951," 474,550 ","+80,249    ",+20.35          ," 240,791 "," 233,759 ",,,,,,,,,,,
,,,1961," 595,619 ","+121,069    ",+25.51          ," 304,579 "," 291,040 ",,,,,,,,,,,
,,,1971," 748,447 ","+152,828    ",+25.66          ," 382,538 "," 365,909 ",,,,,,,,,,,
,,,1981," 923,638 ","+175,191    ",+23.41          ," 470,539 "," 453,099 ",,,,,,,,,,,
,,,1991," 1,036,019 ","+112,381    ",+12.17          ," 533,018 "," 503,001 ",,,,,,,,,,,
,,,2001," 1,182,709 ","+146,690    ",+14.16          ," 612,100 "," 570,609 ",,,,,,,,,,,
,,,2011," 1,343,734 ","+161,025    ",+13.61          ," 694,397 "," 649,337 ",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
24,471,Mahesana,1901," 468,223 ",            ----- ,            ----- ," 239,430 "," 228,793 ",,,,,,,,,,,
,,,1911," 466,503 ","-1,720 ",-0.37 ," 239,458 "," 227,045 ",,,,,,,,,,,
,,,1921," 504,985 ","+38,482    ",+8.25          ," 258,317 "," 246,668 ",,,,,,,,,,,
,,,1931," 558,546 ","+53,561    ",+10.61          ," 283,105 "," 275,441 ",,,,,,,,,,,
,,,1941," 633,666 ","+75,120    ",+13.45          ," 321,417 "," 312,249 ",,,,,,,,,,,
,,,1951," 754,397 ","+120,731    ",+19.05          ," 376,622 "," 377,775 ",,,,,,,,,,,
,,,1961," 905,574 ","+151,177    ",+20.04          ," 458,668 "," 446,906 ",,,,,,,,,,,
,,,1971," 1,159,603 ","+254,029    ",+28.05          ," 591,250 "," 568,353 ",,,,,,,,,,,
,,,1981," 1,401,914 ","+242,311    ",+20.90          ," 710,103 "," 691,811 ",,,,,,,,,,,
,,,1991," 1,645,970 ","+244,056    ",+17.41          ," 843,544 "," 802,426 ",,,,,,,,,,,
,,,2001," 1,844,856 ","+198,886    ",+12.08          ," 957,423 "," 887,433 ",,,,,,,,,,,
,,,2011,2035064,"+190,208    ",+10.31          ,1056520,978544,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
24,472,Sabar Kantha ,1901," 329,865 ",            ----- ,            ----- ," 165,301 "," 164,564 ",,,,,,,,,,,
,,,1911," 373,812 ","+43,947    ",+13.32          ," 188,572 "," 185,240 ",,,,,,,,,,,
,,,1921," 412,046 ","+38,234    ",+10.23          ," 206,610 "," 205,436 ",,,,,,,,,,,
,,,1931," 489,056 ","+77,010    ",+18.69          ," 249,021 "," 240,035 ",,,,,,,,,,,
,,,1941," 572,948 ","+83,892    ",+17.15          ," 291,242 "," 281,706 ",,,,,,,,,,,
,,,1951," 684,017 ","+111,069    ",+19.39          ," 346,774 "," 337,243 ",,,,,,,,,,,
,,,1961," 918,587 ","+234,570    ",+34.29          ," 470,224 "," 448,363 ",,,,,,,,,,,
,,,1971," 1,187,637 ","+269,050    ",+29.29          ," 604,546 "," 583,091 ",,,,,,,,,,,
,,,1981," 1,502,284 ","+314,647    ",+26.49          ," 760,381 "," 741,903 ",,,,,,,,,,,
,,,1991," 1,761,086 ","+258,802    ",+17.23          ," 896,010 "," 865,076 ",,,,,,,,,,,
,,,2001," 2,082,531 ","+321,445    ",+18.25          ," 1,069,554 "," 1,012,977 ",,,,,,,,,,,
,,,2011," 2,428,589 ","+346,058    ",+16.62          ," 1,244,231 "," 1,184,358 ",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
24,473,Gandhinagar,1901," 222,527 ",            ----- ,            ----- ," 114,020 "," 108,507 ",,,,,,,,,,,
,,,1911," 225,592 ","+3,065    ",+1.38          ," 116,597 "," 108,995 ",,,,,,,,,,,
,,,1921," 242,815 ","+17,223    ",+7.63          ," 126,294 "," 116,521 ",,,,,,,,,,,
,,,1931," 268,801 ","+25,986    ",+10.70          ," 138,339 "," 130,462 ",,,,,,,,,,,
,,,1941," 327,493 ","+58,692    ",+21.83          ," 171,225 "," 156,268 ",,,,,,,,,,,
,,,1951," 401,815 ","+74,322    ",+22.69          ," 201,724 "," 200,091 ",,,,,,,,,,,
,,,1961," 478,611 ","+76,796    ",+19.11          ," 244,071 "," 234,540 ",,,,,,,,,,,
,,,1971," 648,666 ","+170,055    ",+35.53          ," 335,093 "," 313,573 ",,,,,,,,,,,
,,,1981," 835,337 ","+186,671    ",+28.78          ," 429,819 "," 405,518 ",,,,,,,,,,,
,,,1991," 1,016,339 ","+181,002    ",+21.67          ," 525,309 "," 491,030 ",,,,,,,,,,,
,,,2001," 1,237,168 ","+220,829    ",+21.73          ," 646,569 "," 590,599 ",,,,,,,,,,,
,,,2011," 1,391,753 ","+154,585    ",+12.50          ," 723,864 "," 667,889 ",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
24,474,Ahmadabad,1901," 681,713 ",            ----- ,            ----- ," 350,186 "," 331,527 ",,,,,,,,,,,
,,,1911," 717,107 ","+35,394    ",+5.19          ," 374,923 "," 342,184 ",,,,,,,,,,,
,,,1921," 765,900 ","+48,793    ",+6.80          ," 410,981 "," 354,919 ",,,,,,,,,,,
,,,1931," 850,077 ","+84,177    ",+10.99          ," 449,940 "," 400,137 ",,,,,,,,,,,
,,,1941," 1,178,608 ","+328,531    ",+38.65          ," 645,935 "," 532,673 ",,,,,,,,,,,
,,,1951," 1,516,191 ","+337,583    ",+28.64          ," 825,946 "," 690,245 ",,,,,,,,,,,
,,,1961," 2,016,668 ","+500,477    ",+33.01          ," 1,088,705 "," 927,963 ",,,,,,,,,,,
,,,1971," 2,765,925 ","+749,257    ",+37.15          ," 1,484,728 "," 1,281,197 ",,,,,,,,,,,
,,,1981," 3,706,573 ","+940,648    ",+34.01          ," 1,962,912 "," 1,743,661 ",,,,,,,,,,,
,,,1991," 4,631,351 ","+924,778    ",+24.95          ," 2,441,218 "," 2,190,133 ",,,,,,,,,,,
,,,2001," 5,893,164 ","+1,261,813    ",+27.25          ," 3,115,318 "," 2,777,846 ",,,,,,,,,,,
,,,2011," 7,214,225 ","+1,321,061    ",+22.42          ," 3,788,051 "," 3,426,174 ",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
24,475,Surendranagar ,1901," 302,815 ",            ----- ,            ----- ," 153,868 "," 148,947 ",,,,,,,,,,,
,,,1911," 340,332 ","+37,517    ",+12.39          ," 175,937 "," 164,395 ",,,,,,,,,,,
,,,1921," 347,543 ","+7,211    ",+2.12          ," 177,567 "," 169,976 ",,,,,,,,,,,
,,,1931," 382,033 ","+34,490    ",+9.92          ," 194,532 "," 187,501 ",,,,,,,,,,,
,,,1941," 429,093 ","+47,060    ",+12.32          ," 219,370 "," 209,723 ",,,,,,,,,,,
,,,1951," 506,267 ","+77,174    ",+17.99          ," 258,500 "," 247,767 ",,,,,,,,,,,
,,,1961," 663,051 ","+156,784    ",+30.97          ," 341,222 "," 321,829 ",,,,,,,,,,,
,,,1971," 845,454 ","+182,403    ",+27.51          ," 435,503 "," 409,951 ",,,,,,,,,,,
,,,1981," 1,034,185 ","+188,731    ",+22.32          ," 534,746 "," 499,439 ",,,,,,,,,,,
,,,1991," 1,208,872 ","+174,687    ",+16.89          ," 629,169 "," 579,703 ",,,,,,,,,,,
,,,2001," 1,515,148 ","+306,276    ",+25.34          ," 787,650 "," 727,498 ",,,,,,,,,,,
,,,2011," 1,756,268 ","+241,120    ",+15.91          ," 909,917 "," 846,351 ",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
24,476,Rajkot ,1901," 500,686 ",            ----- ,            ----- ," 254,190 "," 246,496 ",,,,,,,,,,,
,,,1911," 590,389 ","+89,703    ",+17.92          ," 298,440 "," 291,949 ",,,,,,,,,,,
,,,1921," 586,561 ","-3,828 ",-0.65 ," 295,653 "," 290,908 ",,,,,,,,,,,
,,,1931," 678,820 ","+92,259    ",+15.73          ," 343,801 "," 335,019 ",,,,,,,,,,,
,,,1941," 799,863 ","+121,043    ",+17.83          ," 404,491 "," 395,372 ",,,,,,,,,,,
,,,1951," 930,024 ","+130,161    ",+16.27          ," 467,926 "," 462,098 ",,,,,,,,,,,
,,,1961," 1,208,519 ","+278,495    ",+29.94          ," 615,661 "," 592,858 ",,,,,,,,,,,
,,,1971," 1,624,072 ","+415,553    ",+34.39          ," 834,014 "," 790,058 ",,,,,,,,,,,
,,,1981," 2,093,094 ","+469,022    ",+28.88          ," 1,074,833 "," 1,018,261 ",,,,,,,,,,,
,,,1991," 2,514,122 ","+421,028    ",+20.12          ," 1,291,958 "," 1,222,164 ",,,,,,,,,,,
,,,2001," 3,169,881 ","+655,759    ",+26.08          ," 1,642,018 "," 1,527,863 ",,,,,,,,,,,
,,,2011," 3,804,558 ","+634,677    ",+20.02          ," 1,974,445 "," 1,830,113 ",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
24,477,Jamnagar ,1901," 352,150 ",            ----- ,            ----- ," 178,954 "," 173,196 ",,,,,,,,,,,
,,,1911," 359,604 ","+7,454    ",+2.12          ," 181,552 "," 178,052 ",,,,,,,,,,,
,,,1921," 359,631 ",+27    ,+.01          ," 181,475 "," 178,156 ",,,,,,,,,,,
,,,1931," 425,463 ","+65,832    ",+18.31          ," 213,663 "," 211,800 ",,,,,,,,,,,
,,,1941," 517,833 ","+92,370    ",+21.71          ," 260,458 "," 257,375 ",,,,,,,,,,,
,,,1951," 616,896 ","+99,063    ",+19.13          ," 310,583 "," 306,313 ",,,,,,,,,,,
,,,1961," 828,419 ","+211,523    ",+34.29          ," 424,300 "," 404,119 ",,,,,,,,,,,
,,,1971," 1,111,343 ","+282,924    ",+34.15          ," 572,135 "," 539,208 ",,,,,,,,,,,
,,,1981," 1,393,076 ","+281,733    ",+25.35          ," 714,785 "," 678,291 ",,,,,,,,,,,
,,,1991," 1,563,558 ","+170,482    ",+12.24          ," 802,162 "," 761,396 ",,,,,,,,,,,
,,,2001," 1,904,278 ","+340,720    ",+21.79          ," 981,320 "," 922,958 ",,,,,,,,,,,
,,,2011," 2,160,119 ","+255,841    ",+13.44          ," 1,114,192 "," 1,045,927 ",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
24,478,Porbandar ,1901," 106,925 ",            ----- ,            ----- ," 54,673 "," 52,252 ",,,,,,,,,,,
,,,1911," 118,346 ","+11,421    ",+10.68          ," 60,267 "," 58,079 ",,,,,,,,,,,
,,,1921," 127,697 ","+9,351    ",+7.90          ," 65,074 "," 62,623 ",,,,,,,,,,,
,,,1931," 150,852 ","+23,155    ",+18.13          ," 76,971 "," 73,881 ",,,,,,,,,,,
,,,1941," 190,429 ","+39,577    ",+26.24          ," 97,043 "," 93,386 ",,,,,,,,,,,
,,,1951," 216,450 ","+26,021    ",+13.66          ," 108,171 "," 108,279 ",,,,,,,,,,,
,,,1961," 270,634 ","+54,184    ",+25.03          ," 137,952 "," 132,682 ",,,,,,,,,,,
,,,1971," 354,094 ","+83,460    ",+30.84          ," 181,376 "," 172,718 ",,,,,,,,,,,
,,,1981," 425,899 ","+71,805    ",+20.28          ," 216,525 "," 209,374 ",,,,,,,,,,,
,,,1991," 469,472 ","+43,573    ",+10.23          ," 239,577 "," 229,895 ",,,,,,,,,,,
,,,2001," 536,835 ","+67,363    ",+14.35          ," 275,821 "," 261,014 ",,,,,,,,,,,
,,,2011," 585,449 ","+48,614    ",+9.06          ," 300,209 "," 285,240 ",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
24,479,Junagadh ,1901," 415,521 ",            ----- ,            ----- ," 212,493 "," 203,028 ",,,,,,,,,,,
,,,1911," 458,829 ","+43,308    ",+10.42          ," 233,764 "," 225,065 ",,,,,,,,,,,
,,,1921," 491,969 ","+33,140    ",+7.22          ," 250,809 "," 241,160 ",,,,,,,,,,,
,,,1931," 579,792 ","+87,823    ",+17.85          ," 295,865 "," 283,927 ",,,,,,,,,,,
,,,1941," 729,508 ","+149,716    ",+25.82          ," 371,842 "," 357,666 ",,,,,,,,,,,
,,,1951," 829,760 ","+100,252    ",+13.74          ," 419,911 "," 409,849 ",,,,,,,,,,,
,,,1961," 1,051,074 ","+221,314    ",+26.67          ," 539,202 "," 511,872 ",,,,,,,,,,,
,,,1971," 1,408,342 ","+357,268    ",+33.99          ," 728,560 "," 679,782 ",,,,,,,,,,,
,,,1981," 1,813,780 ","+405,438    ",+28.79          ," 928,477 "," 885,303 ",,,,,,,,,,,
,,,1991," 2,091,182 ","+277,402    ",+15.29          ," 1,066,740 "," 1,024,442 ",,,,,,,,,,,
,,,2001," 2,448,173 ","+356,991    ",+17.07          ," 1,252,350 "," 1,195,823 ",,,,,,,,,,,
,,,2011," 2,743,082 ","+294,909    ",+12.05          ," 1,404,356 "," 1,338,726 ",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
24,480,Amreli ,1901," 339,702 ",            ----- ,            ----- ," 174,061 "," 165,641 ",,,,,,,,,,,
,,,1911," 365,575 ","+25,873    ",+7.62          ," 187,327 "," 178,248 ",,,,,,,,,,,
,,,1921," 363,009 ","-2,566 ",-0.70 ," 186,133 "," 176,876 ",,,,,,,,,,,
,,,1931," 415,110 ","+52,101    ",+14.35          ," 212,251 "," 202,859 ",,,,,,,,,,,
,,,1941," 501,270 ","+86,160    ",+20.76          ," 256,448 "," 244,822 ",,,,,,,,,,,
