1,2,3,4,5,6,7,8,9,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
01,000,JAMMU & KASHMIR,1901," 2,139,362 ", ----, ----," 1,136,766 "," 1,002,596 ",,,,,,,,,,
,,,1911," 2,292,535 ","+153,173    ",+7.16          ," 1,222,305 "," 1,070,230 ",,,,,,,,,,
,,,1921," 2,424,359 ","+131,824    ",+5.75          ," 1,296,205 "," 1,128,154 ",,,,,,,,,,
,,,1931," 2,670,208 ","+245,849    ",+10.14          ," 1,431,801 "," 1,238,407 ",,,,,,,,,,
,,,1941," 2,946,728 ","+276,520    ",+10.36          ," 1,577,021 "," 1,369,707 ",,,,,,,,,,
,,,1951," 3,253,852 ","+307,124    ",+10.42          ," 1,736,827 "," 1,517,025 ",,,,,,,,,,
,,,1961," 3,560,976 ","+307,124    ",+9.44          ," 1,896,633 "," 1,664,343 ",,,,,,,,,,
,,,1971," 4,616,632 ","+1,055,656    ",+29.65          ," 2,458,315 "," 2,158,317 ",,,,,,,,,,
,,,1981," 5,987,389 ","+1,370,757    ",+29.69          ," 3,164,660 "," 2,822,729 ",,,,,,,,,,
,,,  1991 *," 7,837,051 ","+1,849,662    ",+30.89          ," 4,142,082 "," 3,694,969 ",,,,,,,,,,
,,,2001," 10,143,700 ","+2,306,649    ",+29.43          ," 5,360,926 "," 4,782,774 ",,,,,,,,,,
,,,2011," 12,541,302 ","+2,397,602    ",+23.64          ," 6,640,662 "," 5,900,640 ",,,,,,,,,,
,,,,,,,,,,,,,,,,,,
01,001,Kupwara,1901," 110,979 ", ----, ----," 59,073 "," 51,906 ",,,,,,,,,,
,,,1911," 124,744 ","+13,765    ",+12.40          ," 66,161 "," 58,583 ",,,,,,,,,,
,,,1921," 137,936 ","+13,192    ",+10.58          ," 73,990 "," 63,946 ",,,,,,,,,,
,,,1931," 153,758 ","+15,822    ",+11.47          ," 82,443 "," 71,315 ",,,,,,,,,,
