1,2,3,4,5,6,7,8,9,,,,,,,,,,
20,000,JHARKHAND,1901," 6,068,233 ",                     -----,                         -----," 2,985,966 "," 3,082,267 ",,,,,,,,,,
,,,1911," 6,747,122 ","+678,889    ",+11.19          ," 3,338,629 "," 3,408,493 ",,,,,,,,,,
,,,1921," 6,767,770 ","+20,648    ",+.31          ," 3,380,905 "," 3,386,865 ",,,,,,,,,,
,,,1931," 7,908,737 ","+1,140,967    ",+16.86          ," 3,976,450 "," 3,932,287 ",,,,,,,,,,
,,,1941," 8,868,069 ","+959,332    ",+12.13          ," 4,483,780 "," 4,384,289 ",,,,,,,,,,
,,,1951," 9,697,254 ","+829,185    ",+9.35          ," 4,944,043 "," 4,753,211 ",,,,,,,,,,
,,,1961," 11,606,489 ","+1,909,235    ",+19.69          ," 5,921,901 "," 5,684,588 ",,,,,,,,,,
,,,1971," 14,227,133 ","+2,620,644    ",+22.58          ," 7,316,220 "," 6,910,913 ",,,,,,,,,,
,,,1981," 17,612,069 ","+3,384,936    ",+23.79          ," 9,080,444 "," 8,531,625 ",,,,,,,,,,
,,,1991," 21,843,911 ","+4,231,842    ",+24.03          ," 11,363,853 "," 10,480,058 ",,,,,,,,,,
,,,2001," 26,945,829 ","+5,101,918    ",+23.36          ," 13,885,037 "," 13,060,792 ",,,,,,,,,,
,,,2011," 32,988,134 ","+6,042,305    ",+22.42          ," 16,930,315 "," 16,057,819 ",,,,,,,,,,
,,,,,,,,,,,,,,,,,,
20,346,Garhwa,1901," 185,046 ",                     -----,              -----," 91,451 "," 93,595 ",,,,,,,,,,
,,,1911," 205,225 ","+20,179    ",+10.90          ," 102,011 "," 103,214 ",,,,,,,,,,
,,,1921," 218,858 ","+13,633    ",+6.64          ," 109,630 "," 109,228 ",,,,,,,,,,
,,,1931," 244,325 ","+25,467    ",+11.64          ," 122,285 "," 122,040 ",,,,,,,,,,
,,,1941," 272,376 ","+28,051    ",+11.48          ," 136,488 "," 135,888 ",,,,,,,,,,
,,,1951," 294,170 ","+21,794    ",+8.0          ," 148,289 "," 145,881 ",,,,,,,,,,
,,,1961," 358,877 ","+64,707    ",+22.0          ," 180,711 "," 178,166 ",,,,,,,,,,
,,,1971," 466,404 ","+107,527    ",+29.96          ," 237,717 "," 228,687 ",,,,,,,,,,
,,,1981," 606,759 ","+140,355    ",+30.09          ," 310,505 "," 296,254 ",,,,,,,,,,
,,,1991," 801,350 ","+194,591    ",+32.07          ," 416,038 "," 385,312 ",,,,,,,,,,
,,,2001," 1,035,464 ","+234,114    ",+29.21          ," 535,332 "," 500,132 ",,,,,,,,,,
,,,2011," 1,322,784 ","+287,320    ",+27.75          ," 683,575 "," 639,209 ",,,,,,,,,,
,,,,,,,,,,,,,,,,,,
20,347,Chatra,1901," 144,844 ",                     -----,             -----," 70,103 "," 74,741 ",,,,,,,,,,
,,,1911," 158,450 ","+13,606    ",+9.39          ," 77,356 "," 81,094 ",,,,,,,,,,
,,,1921," 157,016 ","-1,434 ",-0.91 ," 76,731 "," 80,285 ",,,,,,,,,,
,,,1931," 186,577 ","+29,561    ",+18.83          ," 92,462 "," 94,115 ",,,,,,,,,,
,,,1941," 215,348 ","+28,771    ",+15.42          ," 108,150 "," 107,198 ",,,,,,,,,,
