1,2,3,4,5,6,7,8,9,,,,,,,
,,,,,,,,,,,,,,,
27,000,MAHARASHTRA,1901,"19,391,643", --   , --   ,"9,802,129","9,589,514",,,,,,,
,, ,1911,"21,474,523","+2,082,880    ",+10.74          ,"10,922,671","10,551,852",,,,,,,
,,,1921,"20,849,666","-624,857 ",-2.91 ,"10,692,865","10,156,801",,,,,,,
,,,1931,"23,959,300","+3,109,634    ",+14.91          ,"12,305,958","11,653,342",,,,,,,
,,,1941,"26,832,758","+2,873,458    ",+11.99          ,"13,769,460","13,063,298",,,,,,,
,,,1951,"32,002,564","+5,169,806    ",+19.27          ,"16,490,039","15,512,525",,,,,,,
,,,1961,"39,553,718","+7,551,154    ",+23.60          ,"20,428,882","19,124,836",,,,,,,
,,,1971,"50,412,235","+10,858,517    ",+27.45          ,"26,116,351","24,295,884",,,,,,,
,,,1981,"62,782,818","+12,370,583    ",+24.54          ,"32,414,432","30,368,386",,,,,,,
,,,1991,"78,937,187","+16,154,369    ",+25.73          ,"40,825,618","38,111,569",,,,,,,
,,,2001,"96,878,627","+17,941,440    ",+22.73          ,"50,400,596","46,478,031",,,,,,,
,,,2011," 112,374,333 ","+15,495,706    ",+15.99          ," 58,243,056 "," 54,131,277 ",,,,,,,
,,,,,,,,,,,,,,,
27,497,Nandurbar,1901,"191,238", --   , --   ,"96,592","94,646",,,,,,,
,,,1911,"238,612","+47,374    ",+24.77          ,"120,619","117,993",,,,,,,
,,,1921,"253,399","+14,787    ",+6.20          ,"128,244","125,155",,,,,,,
,,,1931,"304,918","+51,519    ",+20.33          ,"154,836","150,082",,,,,,,
,,,1941,"360,685","+55,767    ",+18.29          ,"183,190","177,495",,,,,,,
,,,1951,"452,166","+91,481    ",+25.36          ,"229,149","223,017",,,,,,,
,,,1961,"565,958","+113,792    ",+25.17          ,"286,498","279,460",,,,,,,
,,,1971,"692,467","+126,509    ",+22.35          ,"351,835","340,632",,,,,,,
,,,1981,"848,010","+155,543    ",+22.46          ,"427,846","420,164",,,,,,,
,,,1991,"1,062,545","+214,535    ",+25.30          ,"538,020","524,525",,,,,,,
,,,2001,"1,311,709","+249,164    ",+23.45          ,"663,511","648,198",,,,,,,
,,,2011," 1,648,295 ","+336,586    ",+25.66          ," 833,170 "," 815,125 ",,,,,,,
,,,,,,,,,,,,,,,
27,498,Dhule,1901,"257,194", --   , --   ,"129,905","127,289",,,,,,,
,,,1911,"320,907","+63,713    ",+24.77          ,"162,220","158,687",,,,,,,
,,,1921,"340,792","+19,885    ",+6.20          ,"172,473","168,319",,,,,,,
,,,1931,"410,080","+69,288    ",+20.33          ,"208,237","201,843",,,,,,,
,,,1941,"485,081","+75,001    ",+18.29          ,"246,370","238,711",,,,,,,
,,,1951,"608,112","+123,031    ",+25.36          ,"309,077","299,035",,,,,,,
,,,1961,"785,278","+177,166    ",+29.13          ,"400,444","384,834",,,,,,,
,,,1971,"969,714","+184,436    ",+23.49          ,"497,766","471,948",,,,,,,
,,,1981,"1,202,284","+232,570    ",+23.98          ,"615,294","586,990",,,,,,,
,,,1991,"1,473,170","+270,886    ",+22.53          ,"757,268","715,902",,,,,,,
,,,2001,"1,707,947","+234,777    ",+15.94          ,"878,372","829,575",,,,,,,
,,,2011," 2,050,862 ","+342,915    ",+20.08          ," 1,054,031 "," 996,831 ",,,,,,,
,,,,,,,,,,,,,,,
27,499,Jalgaon,1901,"954,077", --   , --   ,"483,030","471,047",,,,,,,
,,,1911,"1,028,126","+74,049    ",+7.76          ,"518,558","509,568",,,,,,,
,,,1921,"1,069,656","+41,530    ",+4.04          ,"542,676","526,980",,,,,,,
,,,1931,"1,198,260","+128,604    ",+12.02          ,"608,733","589,527",,,,,,,
,,,1941,"1,320,074","+121,814    ",+10.17          ,"669,953","650,121",,,,,,,
,,,1951,"1,471,351","+151,277    ",+11.46          ,"746,452","724,899",,,,,,,
,,,1961,"1,765,047","+293,696    ",+19.96          ,"902,001","863,046",,,,,,,
,,,1971,"2,123,121","+358,074    ",+20.29          ,"1,089,840","1,033,281",,,,,,,
,,,1981,"2,618,274","+495,153    ",+23.32          ,"1,342,963","1,275,311",,,,,,,
,,,1991,"3,187,634","+569,360    ",+21.75          ,"1,642,873","1,544,761",,,,,,,
,,,2001,"3,682,690","+495,056    ",+15.53          ,"1,905,493","1,777,197",,,,,,,
,,,2011," 4,229,917 ","+547,227    ",+14.86          ," 2,197,365 "," 2,032,552 ",,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
27,500,Buldana,1901,"617,990", --   , --   ,"310,300","307,690",,,,,,,
,,,1911,"673,698","+55,708    ",+9.01          ,"339,459","334,239",,,,,,,
,,,1921,"703,643","+29,945    ",+4.44          ,"355,604","348,039",,,,,,,
,,,1931,"766,584","+62,941    ",+8.95          ,"388,966","377,618",,,,,,,
,,,1941,"820,862","+54,278    ",+7.08          ,"416,314","404,548",,,,,,,
,,,1951,"870,168","+49,306    ",+6.01          ,"439,270","430,898",,,,,,,
,,,1961,"1,059,698","+189,530    ",+21.78          ,"541,026","518,672",,,,,,,
,,,1971,"1,262,978","+203,280    ",+19.18          ,"646,303","616,675",,,,,,,
,,,1981,"1,508,777","+245,799    ",+19.46          ,"770,833","737,944",,,,,,,
,,,1991,"1,886,299","+377,522    ",+25.02          ,"966,017","920,282",,,,,,,
,,,2001,"2,232,480","+346,181    ",+18.35          ,"1,147,403","1,085,077",,,,,,,
,,,2011," 2,586,258 ","+353,778    ",+15.85          ," 1,337,560 "," 1,248,698 ",,,,,,,
,,,,,,,,,,,,,,,
27,501,Akola,1901,"444,653",-,-,"225,896","218,757",,,,,,,
,,,1911,"464,741","+20,088    ",+4.52          ,"236,203","228,538",,,,,,,
,,,1921,"469,947","+5,206    ",+1.12          ,"239,999","229,948",,,,,,,
,,,1931,"518,143","+48,196    ",+10.26          ,"265,407","252,736",,,,,,,
,,,1941,"536,696","+18,553    ",+3.58          ,"274,306","262,390",,,,,,,
,,,1951,"562,268","+25,572    ",+4.76          ,"287,908","274,360",,,,,,,
