1,2,3,4,5,6,7,8,9,,,,,,,
,,,,,,,,,,,,,,,
15,000,MIZORAM,1901," 82,434 ",…,…," 39,004 "," 43,430 ",,,,,,,
,,,1911," 91,204 ","+8,770    ",+10.64          ," 43,028 "," 48,176 ",,,,,,,
,,,1921," 98,406 ","+7,202    ",+7.90          ," 46,652 "," 51,754 ",,,,,,,
,,,1931," 124,404 ","+25,998    ",+26.42          ," 59,186 "," 65,218 ",,,,,,,
,,,1941," 152,786 ","+28,382    ",+22.81          ," 73,855 "," 78,931 ",,,,,,,
,,,1951," 196,202 ","+43,416    ",+28.42          ," 96,136 "," 100,066 ",,,,,,,
,,,1961," 266,063 ","+69,861    ",+35.61          ," 132,465 "," 133,598 ",,,,,,,
,,,1971," 332,390 ","+66,327    ",+24.93          ," 170,824 "," 161,566 ",,,,,,,
,,,1981," 493,757 ","+161,367    ",+48.55          ," 257,239 "," 236,518 ",,,,,,,
,,,1991," 689,756 ","+195,999    ",+39.70          ," 358,978 "," 330,778 ",,,,,,,
,,,2001," 888,573 ","+198,817    ",+28.82          ," 459,109 "," 429,464 ",,,,,,,
,,,2011," 1,097,206 ","+208,633    ",+23.48          ," 555,339 "," 541,867 ",,,,,,,
,,,,,,,,,,,,,,,
15,281,Mamit,1901,N.A,-,-,N.A.,N.A.,,,,,,,
,,,1911,N.A,N.A,N.A,N.A.,N.A.,,,,,,,
,,,1921,N.A,N.A,N.A,N.A.,N.A.,,,,,,,
,,,1931,N.A,N.A,N.A,N.A.,N.A.,,,,,,,
,,,1941,N.A,N.A,N.A,N.A.,N.A.,,,,,,,
,,,1951,N.A,N.A,N.A,N.A.,N.A.,,,,,,,
,,,1961,N.A,N.A,N.A,N.A.,N.A.,,,,,,,
,,,1971," 30,311 ",N.A,N.A," 16,144 "," 14,167 ",,,,,,,
,,,1981," 52,255 ","+21,944    ",+72.40          ," 27,987 "," 24,268 ",,,,,,,
,,,1991," 64,572 ","+12,317    ",+23.57          ," 34,147 "," 30,425 ",,,,,,,
,,,2001," 62,785 ","-1,787 ",-2.77 ," 33,114 "," 29,671 ",,,,,,,
,,,2011," 86,364 ","+23,579    ",+37.56          ," 44,828 "," 41,536 ",,,,,,,
,,,,,,,,,,,,,,,
15,282,Kolasib,1901,N.A,-,-,N.A.,N.A.,,,,,,,
,,,1911,N.A,N.A,N.A,N.A.,N.A.,,,,,,,
,,,1921,N.A,N.A,N.A,N.A.,N.A.,,,,,,,
,,,1931,N.A,N.A,N.A,N.A.,N.A.,,,,,,,
,,,1941,N.A,N.A,N.A,N.A.,N.A.,,,,,,,
,,,1951,N.A,N.A,N.A,N.A.,N.A.,,,,,,,
,,,1961,N.A,N.A,N.A,N.A.,N.A.,,,,,,,
,,,1971," 26,983 ",N.A,N.A," 13,603 "," 13,380 ",,,,,,,
,,,1981," 38,432 ","+11,449    ",+42.43          ," 20,212 "," 18,220 ",,,,,,,
,,,1991," 48,769 ","+10,337    ",+26.90          ," 25,425 "," 23,344 ",,,,,,,
,,,2001," 65,960 ","+17,191    ",+35.25          ," 34,562 "," 31,398 ",,,,,,,
,,,2011," 83,955 ","+17,995    ",+27.28          ," 42,918 "," 41,037 ",,,,,,,
,,,,,,,,,,,,,,,
15,283,Aizawl,1901,N.A,-,-,N.A.,N.A.,,,,,,,
,,,1911,N.A,N.A,N.A,N.A.,N.A.,,,,,,,
,,,1921,N.A,N.A,N.A,N.A.,N.A.,,,,,,,
,,,1931,N.A,N.A,N.A,N.A.,N.A.,,,,,,,
,,,1941,N.A,N.A,N.A,N.A.,N.A.,,,,,,,
,,,1951,N.A,N.A,N.A,N.A.,N.A.,,,,,,,
,,,1961,N.A,N.A,N.A,N.A.,N.A.,,,,,,,
,,,1971," 88,298 ",N.A,N.A," 45,189 "," 43,109 ",,,,,,,
,,,1981," 148,607 ","+60,309    ",+68.30          ," 77,361 "," 71,246 ",,,,,,,
,,,1991," 235,879 ","+87,272    ",+58.73          ," 122,940 "," 112,939 ",,,,,,,
,,,2001," 325,676 ","+89,797    ",+38.07          ," 166,877 "," 158,799 ",,,,,,,
