1,2,3,4,5,6,7,8,9,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
33,000,TAMIL NADU,1901," 19,252,630 ",-,-," 9,419,398 "," 9,833,232 ",,,,,,,,,,,
,,,1911," 20,902,616 ","+1,649,986    ",+8.57          ," 10,236,951 "," 10,665,665 ",,,,,,,,,,,
,,,1921," 21,628,518 ","+725,902    ",+3.47          ," 10,659,489 "," 10,969,029 ",,,,,,,,,,,
,,,1931," 23,472,099 ","+1,843,581    ",+8.52          ," 11,577,988 "," 11,894,111 ",,,,,,,,,,,
,,,1941," 26,267,507 ","+2,795,408    ",+11.91          ," 13,056,967 "," 13,210,540 ",,,,,,,,,,,
,,,1951," 30,119,047 ","+3,851,540    ",+14.66          ," 15,003,724 "," 15,115,323 ",,,,,,,,,,,
,,,1961," 33,686,953 ","+3,567,906    ",+11.85          ," 16,910,978 "," 16,775,975 ",,,,,,,,,,,
,,,1971," 41,199,168 ","+7,512,215    ",+22.30          ," 20,828,021 "," 20,371,147 ",,,,,,,,,,,
,,,1981," 48,408,077 ","+7,208,909    ",+17.50          ," 24,487,624 "," 23,920,453 ",,,,,,,,,,,
,,,1991," 55,858,946 ","+7,450,869    ",+15.39          ," 28,298,975 "," 27,559,971 ",,,,,,,,,,,
,,,2001," 62,405,679 ","+6,546,733    ",+11.72          ," 31,400,909 "," 31,004,770 ",,,,,,,,,,,
,,,2011," 72,147,030 ","+9,741,351    ",+15.61          ," 36,137,975 "," 36,009,055 ",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
33,602, Thiruvallur,1901," 611,211 ", -   ,-," 307,758 "," 303,453 ",,,,,,,,,,,
,,,1911," 655,199 ","+43,988    ",+7.20          ," 328,645 "," 326,554 ",,,,,,,,,,,
,,,1921," 688,499 ","+33,300    ",+5.08          ," 346,598 "," 341,901 ",,,,,,,,,,,
,,,1931," 751,567 ","+63,068    ",+9.16          ," 379,330 "," 372,237 ",,,,,,,,,,,
,,,1941," 825,255 ","+73,688    ",+9.80          ," 418,849 "," 406,406 ",,,,,,,,,,,
,,,1951," 888,691 ","+63,436    ",+7.69          ," 451,399 "," 437,292 ",,,,,,,,,,,
,,,1961," 981,733 ","+93,042    ",+10.47          ," 501,569 "," 480,164 ",,,,,,,,,,,
,,,1971," 1,298,028 ","+316,295    ",+32.22          ," 669,045 "," 628,983 ",,,,,,,,,,,
,,,1981," 1,718,487 ","+420,459    ",+32.39          ," 880,182 "," 838,305 ",,,,,,,,,,,
,,,1991," 2,238,583 ","+520,096    ",+30.26          ," 1,144,043 "," 1,094,540 ",,,,,,,,,,,
,,,2001," 2,754,756 ","+516,173    ",+23.06          ," 1,397,407 "," 1,357,349 ",,,,,,,,,,,
,,,2011," 3,728,104 ","+973,348    ",+35.33          ," 1,876,062 "," 1,852,042 ",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
33,603, Chennai,1901,"570,851",-,-," 287,890 "," 282,961 ",,,,,,,,,,,
,,,1911,"593,132","+22,281    ",+3.90          ," 304,371 "," 288,761 ",,,,,,,,,,,
,,,1921,"611,144","+18,012    ",+3.04          ," 319,411 "," 291,733 ",,,,,,,,,,,
,,,1931,"757,051","+145,907    ",+23.87          ," 398,327 "," 358,724 ",,,,,,,,,,,
,,,1941,"910,464","+153,413    ",+20.26          ," 476,346 "," 434,118 ",,,,,,,,,,,
,,,1951,"1,454,896","+544,432    ",+59.80          ," 756,836 "," 698,060 ",,,,,,,,,,,
,,,1961,"1,776,329","+321,433    ",+22.09          ," 934,227 "," 842,102 ",,,,,,,,,,,
,,,1971,"2,579,276","+802,947    ",+45.20          ," 1,354,325 "," 1,224,951 ",,,,,,,,,,,
,,,1981,"3,276,622","+697,346    ",+27.04          ," 1,694,107 "," 1,582,515 ",,,,,,,,,,,
,,,1991,"3,841,396","+564,774    ",+17.24          ," 1,986,278 "," 1,855,118 ",,,,,,,,,,,
,,,2001," 4,343,645 ","+502,249    ",+13.07          ," 2,219,539 "," 2,124,106 ",,,,,,,,,,,
,,,2011," 4,646,732 ","+303,087    ",+6.98          ," 2,335,844 "," 2,310,888 ",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
33,604, Kancheepuram,1901," 708,782 ", -   ,-," 356,887 "," 351,895 ",,,,,,,,,,,
,,,1911," 759,794 ","+51,012    ",+7.20          ," 381,109 "," 378,685 ",,,,,,,,,,,
,,,1921," 798,408 ","+38,614    ",+5.08          ," 401,928 "," 396,480 ",,,,,,,,,,,
,,,1931," 871,546 ","+73,138    ",+9.16          ," 439,886 "," 431,660 ",,,,,,,,,,,
,,,1941," 956,996 ","+85,450    ",+9.80          ," 485,713 "," 471,283 ",,,,,,,,,,,
,,,1951," 1,030,559 ","+73,563    ",+7.69          ," 521,726 "," 508,833 ",,,,,,,,,,,
,,,1961," 1,167,491 ","+136,932    ",+13.29          ," 594,496 "," 572,995 ",,,,,,,,,,,
