,,  A - 2  DECADAL VARIATION  IN  POPULATION  SINCE  1901,,,,,,,,,,,,,,,,
State,District,State/District,Census Year,Persons,Variation since the preceding census ,,Males,Females,,,,,,,,,,
Code,Code,,,,,,,,,,,,,,,,,
,,,,,Absolute,Percentage,,,,,,,,,,,,
1,2,3,4,5,6,7,8,9,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
10,000,BIHAR,1901,"21,243,632",-,-,"10,308,300","10,935,332",,,,,,,,,,
,,,1911,"21,567,159","+323,527    ",+1.52          ,"10,516,050","11,051,109",,,,,,,,,,
,,,1921,"21,358,905","-208,254 ",-0.97 ,"10,573,105","10,785,800",,,,,,,,,,
,,,1931,"23,438,371","+2,079,466    ",+9.74          ,"11,748,053","11,690,318",,,,,,,,,,
,,,1941,"26,302,771","+2,864,400    ",+12.22          ,"13,138,759","13,164,012",,,,,,,,,,
,,,1951,"29,085,017","+2,782,246    ",+10.58          ,"14,545,921","14,539,096",,,,,,,,,,
,,,1961,"34,840,968","+5,755,951    ",+19.79          ,"17,375,442","17,465,526",,,,,,,,,,
,,,1971,"42,126,236","+7,285,268    ",+20.91          ,"21,530,724","20,595,512",,,,,,,,,,
,,,1981,"52,302,665","+10,176,429    ",+24.16          ,"26,850,116","25,452,549",,,,,,,,,,
,,,1991,"64,530,554","+12,227,889    ",+23.38          ,"33,838,238","30,692,316",,,,,,,,,,
,,,2001,"82,998,509","+18,467,955    ",+28.62          ,"43,243,795","39,754,714",,,,,,,,,,
,,,2011," 104,099,452 ","+21,100,943    ",+25.42          ," 54,278,157 "," 49,821,295 ",,,,,,,,,,
,,,,,,,,,,,,,,,,,,
10,203,Pashchim Champaran,1901,"762,628",-,-,"377,215","385,413",,,,,,,,,,
,,,1911,"812,855","+50,227    ",+6.59          ,"401,239","411,616",,,,,,,,,,
,,,1921,"826,679","+13,824    ",+1.70          ,"412,512","414,167",,,,,,,,,,
,,,1931,"913,931","+87,252    ",+10.55          ,"460,421","453,510",,,,,,,,,,
,,,1941,"1,021,217","+107,286    ",+11.74          ,"516,695","504,522",,,,,,,,,,
,,,1951,"1,071,382","+50,165    ",+4.91          ,"547,361","524,021",,,,,,,,,,
,,,1961,"1,325,122","+253,740    ",+23.68          ,"681,498","643,624",,,,,,,,,,
,,,1971,"1,587,019","+261,897    ",+19.76          ,"827,628","759,391",,,,,,,,,,
,,,1981,"1,972,610","+385,591    ",+24.30          ,"1,032,033","940,577",,,,,,,,,,
,,,1991,"2,333,666","+361,056    ",+18.30          ,"1,243,018","1,090,648",,,,,,,,,,
,,,2001,"3,043,466","+709,800    ",+30.42          ,"1,600,839","1,442,627",,,,,,,,,,
,,,2011," 3,935,042 ","+891,576    ",+29.29          ," 2,061,110 "," 1,873,932 ",,,,,,,,,,
,,,,,,,,,,,,,,,,,,
10,204,Purba Champaran,1901,"1,027,835",-,-,"508,392","519,443",,,,,,,,,,
,,,1911,"1,095,530","+67,695    ",+6.59          ,"540,773","554,757",,,,,,,,,,
,,,1921,"1,114,162","+18,632    ",+1.70          ,"555,966","558,196",,,,,,,,,,
,,,1931,"1,231,756","+117,594    ",+10.55          ,"620,535","611,221",,,,,,,,,,
,,,1941,"1,376,352","+144,596    ",+11.74          ,"696,379","679,973",,,,,,,,,,
,,,1951,"1,443,961","+67,609    ",+4.91          ,"720,045","723,916",,,,,,,,,,
