,,  A - 2  DECADAL VARIATION  IN  POPULATION  SINCE  1901,,,,,,,,,,,,,,,,,,,,,,,,,,,
State,District,State/District,Census Year,Persons,Variation since the preceding census ,,Males,Females,,,,,,,,,,,,,,,,,,,,,
Code,Code,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Absolute,Percentage,,,,,,,,,,,,,,,,,,,,,,,
1,2,3,4,5,6,7,8,9,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06,000,HARYANA,1901*,"4,623,064",-,-,"2,476,390","2,146,674",,,,,,,,,,,,,,,,,,,,,
,,,1911*,"4,174,677",-448387,-9.70,"2,274,909","1,899,768",,,,,,,,,,,,,,,,,,,,,
,,,1921*,"4,255,892","+81,215    ",+1.95          ,"2,307,985","1,947,907",,,,,,,,,,,,,,,,,,,,,
,,,1931*,"4,559,917","+304,025    ",+7.14          ,"2,473,228","2,086,689",,,,,,,,,,,,,,,,,,,,,
,,,1941*,"5,272,829","+712,912    ",+15.63          ,"2,821,783","2,451,046",,,,,,,,,,,,,,,,,,,,,
,,,1951,"5,673,597","+400,768    ",+7.60          ,"3,031,612","2,641,985",,,,,,,,,,,,,,,,,,,,,
,,,1961,"7,590,524","+1,916,927    ",+33.79          ,"4,062,787","3,527,737",,,,,,,,,,,,,,,,,,,,,
,,,1971,"10,036,431","+2,445,907    ",+32.22          ,"5,377,044","4,659,387",,,,,,,,,,,,,,,,,,,,,
,,,1981,"12,922,119","+2,885,688    ",+28.75          ,"6,909,679","6,012,440",,,,,,,,,,,,,,,,,,,,,
,,,1991,"16,463,648","+3,541,529    ",+27.41          ,"8,827,474","7,636,174",,,,,,,,,,,,,,,,,,,,,
,,,2001,"21,144,564","+4,680,916    ",+28.43          ,"11,363,953","9,780,611",,,,,,,,,,,,,,,,,,,,,
,,,2011,"25,351,462","+4,206,898    ",+19.90          ,"13,494,734","11,856,728",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06,069,Panchkula,1901,"73,413",-,-,"40,646","32,767",,,,,,,,,,,,,,,,,,,,,
,,,1911,"61,578",-11835,-16.12,"35,126","26,452",,,,,,,,,,,,,,,,,,,,,
,,,1921,"57,319",-4259,-6.92,"32,267","25,052",,,,,,,,,,,,,,,,,,,,,
,,,1931,"66,103",+8784          ,+15.32          ,"37,039","29,064",,,,,,,,,,,,,,,,,,,,,
,,,1941,"75,444",+9341          ,+14.13          ,"41,981","33,463",,,,,,,,,,,,,,,,,,,,,
,,,1951,"81,104",+5660          ,+7.50          ,"45,094","36,010",,,,,,,,,,,,,,,,,,,,,
,,,1961,"105,868",+24764          ,+30.53          ,"58,651","47,217",,,,,,,,,,,,,,,,,,,,,
,,,1971,"141,291",+35423          ,+33.46          ,"77,639","63,652",,,,,,,,,,,,,,,,,,,,,
,,,1981,"196,939",+55648          ,+39.39          ,"107,465","89,474",,,,,,,,,,,,,,,,,,,,,
,,,1991,"310,396",+113457          ,+57.61          ,"168,817","141,579",,,,,,,,,,,,,,,,,,,,,
,,,2001,"468,411",+158015          ,+50.91          ,"256,939","211,472",,,,,,,,,,,,,,,,,,,,,
,,,2011,"561,293",+92882          ,+19.83          ,"299,679","261,614",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
