,,  A - 2  DECADAL VARIATION  IN  POPULATION  SINCE  1901,,,,,,,,,,,,,,,,
State,District,State/District,Census Year,Persons,Variation since the preceding census ,,Males,Females,,,,,,,,,,
Code,Code,,,,,,,,,,,,,,,,,
,,,,,Absolute,Percentage,,,,,,,,,,,,
1,2,3,4,5,6,7,8,9,,,,,,,,,,
02,000,HIMACHAL PRADESH,1901,"1,920,294 ", ---, ---,"1,019,069 ","901,225 ",,,,,,,,,,
,,,1911,"1,896,944 ","-23,350 ",-1.22 ,"1,004,183 ","892,761 ",,,,,,,,,,
,,,1921,"1,928,206 ","+31,262    ",+1.65          ,"1,020,201 ","908,005 ",,,,,,,,,,
,,,1931,"2,029,113 ","+100,907    ",+5.23          ,"1,069,540 ","959,573 ",,,,,,,,,,
,,,1941,"2,263,245 ","+234,132    ",+11.54          ,"1,197,620 ","1,065,625 ",,,,,,,,,,
,,,1951,"2,385,981 ","+122,736    ",+5.42          ,"1,247,826 ","1,138,155 ",,,,,,,,,,
,,,1961,"2,812,463 ","+426,482    ",+17.87          ,"1,451,334 ","1,361,129 ",,,,,,,,,,
,,,1971,"3,460,434 ","+647,971    ",+23.04          ,"1,766,957 ","1,693,477 ",,,,,,,,,,
,,,1981,"4,280,818 ","+820,384    ",+23.71          ,"2,169,931 ","2,110,887 ",,,,,,,,,,
,,,1991,"5,170,877 ","+890,059    ",+20.79          ,"2,617,467 ","2,553,410 ",,,,,,,,,,
,,,2001,"6,077,900 ","+907,023    ",+17.54          ,"3,087,940 ","2,989,960 ",,,,,,,,,,
,,,2011,"6,864,602 ","+786,702    ",+12.94          ,"3,481,873 ","3,382,729 ",,,,,,,,,,
,,,,,,,,,,,,,,,,,,
02,023,Chamba,1901,"130,244      ", ---, ---,"68,432      ","61,812       ",,,,,,,,,,
,,,1911,"138,943      ","+8,699    ",+6.68          ,"73,238      ","65,705       ",,,,,,,,,,
,,,1921,"145,526      ","+6,583    ",+4.74          ,"76,891      ","68,635       ",,,,,,,,,,
,,,1931,"150,591      ","+5,065    ",+3.48          ,"78,838      ","71,753       ",,,,,,,,,,
,,,1941,"174,394      ","+23,803    ",+15.81          ,"93,043      ","81,351       ",,,,,,,,,,
,,,1951,"174,537      ",+143    ,+0.08          ,"92,143      ","82,394       ",,,,,,,,,,
,,,1961,"215,929      ","+41,392    ",+23.72          ,"115,090      ","100,839       ",,,,,,,,,,
,,,1971,"251,203      ","+35,274    ",+16.34          ,"129,130      ","122,073       ",,,,,,,,,,
,,,1981,"311,147      ","+59,944    ",+23.86          ,"160,752      ","150,395       ",,,,,,,,,,
,,,1991,"393,286      ","+82,139    ",+26.40          ,"201,759      ","191,527       ",,,,,,,,,,
,,,2001,"460,887      ","+67,601    ",+17.19          ,"235,218      ","225,669       ",,,,,,,,,,
,,,2011,"519,080      ","+58,193    ",+12.63          ,"261,320      ","257,760       ",,,,,,,,,,
,,,,,,,,,,,,,,,,,,
02,024,Kangra,1901,"478,364      ", ---, ---,*,*,,,,,,,,,,
,,,1911,"469,046      ","-9,318     ",-1.95          ,"246,835      ","222,211       ",,,,,,,,,,
,,,1921,"469,251      ",+205    ,+0.04          ,"243,142      ","226,109       ",,,,,,,,,,
,,,1931,"494,658      ","+25,407    ",+5.41          ,"257,983      ","236,675       ",,,,,,,,,,
