,,  A - 2  DECADAL VARIATION  IN  POPULATION  SINCE  1901,,,,,,,,,,,
State,District,State/District,Census,Persons,Variation since the preceding census ,,Males,Females,,,,,
Code,Code,, Year,,,,,,,,,,
,,,,,Absolute,Percentage,,,,,,,
1,2,3,4,5,6,7,8,9,,,,,
29,000, KARNATAKA ,1901," 13,054,754 ",                   ----,                      ----," 6,582,105 "," 6,472,649 ",,,,,
,,,1911," 13,525,251 ","+470,497    ",+3.60          ," 6,827,801 "," 6,697,450 ",,,,,
,,,1921," 13,377,599 ","-147,652 ",-1.09 ," 6,793,718 "," 6,583,881 ",,,,,
,,,1931," 14,632,992 ","+1,255,393    ",+9.38          ," 7,445,458 "," 7,187,534 ",,,,,
,,,1941," 16,255,368 ","+1,622,376    ",+11.09          ," 8,294,043 "," 7,961,325 ",,,,,
,,,1951," 19,401,956 ","+3,146,588    ",+19.36          ," 9,866,923 "," 9,535,033 ",,,,,
,,,1961," 23,586,772 ","+4,184,816    ",+21.57          ," 12,040,923 "," 11,545,849 ",,,,,
,,,1971," 29,299,014 ","+5,712,242    ",+24.22          ," 14,971,900 "," 14,327,114 ",,,,,
,,,1981," 37,135,714 ","+7,836,700    ",+26.75          ," 18,922,627 "," 18,213,087 ",,,,,
,,,1991," 44,977,201 ","+7,841,487    ",+21.12          ," 22,951,917 "," 22,025,284 ",,,,,
,,,2001," 52,850,562 ","+7,873,361    ",+17.51          ," 26,898,918 "," 25,951,644 ",,,,,
,,,2011," 61,095,297 ","+8,244,735    ",+15.60          ," 30,966,657 "," 30,128,640 ",,,,,
,,,,,,,,,,,,,
29,555,Belgaum ,1901," 1,131,186 ",                   ----,                      ----," 571,263 "," 559,923 ",,,,,
,,,1911," 1,083,804 ","-47,382 ",-4.19 ," 551,009 "," 532,795 ",,,,,
,,,1921," 1,088,763 ","+4,959    ",+.46          ," 556,408 "," 532,355 ",,,,,
,,,1931," 1,237,223 ","+148,460    ",+13.64          ," 633,783 "," 603,440 ",,,,,
,,,1941," 1,410,054 ","+172,831    ",+13.97          ," 724,345 "," 685,709 ",,,,,
,,,1951," 1,645,620 ","+235,566    ",+16.71          ," 841,366 "," 804,254 ",,,,,
,,,1961," 1,983,498 ","+337,878    ",+20.53          ," 1,016,389 "," 967,109 ",,,,,
,,,1971," 2,422,994 ","+439,496    ",+22.16          ," 1,244,627 "," 1,178,367 ",,,,,
,,,1981," 2,978,913 ","+555,919    ",+22.94          ," 1,522,476 "," 1,456,437 ",,,,,
,,,1991," 3,583,606 ","+604,693    ",+20.30          ," 1,834,005 "," 1,749,601 ",,,,,
,,,2001," 4,214,505 ","+630,899    ",+17.61          ," 2,150,090 "," 2,064,415 ",,,,,
,,,2011," 4,779,661 ","+565,156    ",+13.41          ," 2,423,063 "," 2,356,598 ",,,,,
,,,,,,,,,,,,,
29,556,Bagalkot  ,1901," 466,200 ",                   ----,                      ----," 233,202 "," 232,998 ",,,,,
,,,1911," 490,668 ","+24,468    ",+5.25          ," 245,897 "," 244,771 ",,,,,
,,,1921," 467,062 ","-23,606 ",-4.81 ," 236,551 "," 230,511 ",,,,,
,,,1931," 502,540 ","+35,478    ",+7.60          ," 253,305 "," 249,235 ",,,,,
,,,1941," 570,522 ","+67,982    ",+13.53          ," 288,617 "," 281,905 ",,,,,
,,,1951," 661,645 ","+91,123    ",+15.97          ," 331,353 "," 330,292 ",,,,,
,,,1961," 771,602 ","+109,957    ",+16.62          ," 388,409 "," 383,193 ",,,,,
,,,1971," 931,651 ","+160,049    ",+20.74          ," 468,773 "," 462,878 ",,,,,
,,,1981," 1,151,005 ","+219,354    ",+23.54          ," 576,484 "," 574,521 ",,,,,
,,,1991," 1,390,259 ","+239,254    ",+20.79          ," 701,515 "," 688,744 ",,,,,
,,,2001," 1,651,892 ","+261,633    ",+18.82          ," 834,247 "," 817,645 ",,,,,
,,,2011," 1,889,752 ","+237,860    ",+14.40          ," 950,111 "," 939,641 ",,,,,
,,,,,,,,,,,,,
29,557,Bijapur  ,1901," 436,892 ",                   ----,                      ----," 218,938 "," 217,954 ",,,,,
,,,1911," 535,837 ","+98,945    ",+22.65          ," 269,873 "," 265,964 ",,,,,
,,,1921," 491,201 ","-44,636 ",-8.33 ," 250,937 "," 240,264 ",,,,,
,,,1931," 544,386 ","+53,185    ",+10.83          ," 277,398 "," 266,988 ",,,,,
,,,1941," 605,235 ","+60,849    ",+11.18          ," 310,244 "," 294,991 ",,,,,
,,,1951," 735,033 ","+129,798    ",+21.45          ," 374,418 "," 360,615 ",,,,,
,,,1961," 888,576 ","+153,543    ",+20.89          ," 451,771 "," 436,805 ",,,,,
,,,1971," 1,053,940 ","+165,364    ",+18.61          ," 536,794 "," 517,146 ",,,,,
,,,1981," 1,250,777 ","+196,837    ",+18.68          ," 635,052 "," 615,725 ",,,,,
,,,1991," 1,537,731 ","+286,954    ",+22.94          ," 789,504 "," 748,227 ",,,,,
,,,2001," 1,806,918 ","+269,187    ",+17.51          ," 926,424 "," 880,494 ",,,,,
,,,2011," 2,177,331 ","+370,413    ",+20.50          ," 1,111,022 "," 1,066,309 ",,,,,
,,,,,,,,,,,,,
29,558,Bidar ,1901," 357,593 ",                   ----,                      ----," 179,668 "," 177,925 ",,,,,
,,,1911," 425,339 ","+67,746    ",+18.95          ," 214,879 "," 210,460 ",,,,,
,,,1921," 400,606 ","-24,733 ",-5.81 ," 203,572 "," 197,034 ",,,,,
,,,1931," 438,695 ","+38,089    ",+9.51          ," 223,986 "," 214,709 ",,,,,
,,,1941," 512,826 ","+74,131    ",+16.90          ," 263,147 "," 249,679 ",,,,,
,,,1951," 551,048 ","+38,222    ",+7.45          ," 278,296 "," 272,752 ",,,,,
,,,1961," 663,172 ","+112,124    ",+20.35          ," 336,480 "," 326,692 ",,,,,
,,,1971," 824,059 ","+160,887    ",+24.26          ," 419,812 "," 404,247 ",,,,,
,,,1981," 995,691 ","+171,632    ",+20.83          ," 506,043 "," 489,648 ",,,,,
,,,1991," 1,255,799 ","+260,108    ",+26.12          ," 643,192 "," 612,607 ",,,,,
,,,2001," 1,502,373 ","+246,574    ",+19.63          ," 771,022 "," 731,351 ",,,,,
,,,2011," 1,703,300 ","+200,927    ",+13.37          ," 870,665 "," 832,635 ",,,,,
,,,,,,,,,,,,,
29,559,Raichur,1901," 446,375 ",                   ----,                      ----," 224,082 "," 222,293 ",,,,,
,,,1911," 479,298 ","+32,923    ",+7.38          ," 242,275 "," 237,023 ",,,,,
,,,1921," 433,341 ","-45,957 ",-9.59 ," 219,597 "," 213,744 ",,,,,
,,,1931," 453,788 ","+20,447    ",+4.72          ," 229,023 "," 224,765 ",,,,,
,,,1941," 500,719 ","+46,931    ",+10.34          ," 254,316 "," 246,403 ",,,,,
,,,1951," 531,540 ","+30,821    ",+6.16          ," 265,195 "," 266,345 ",,,,,
,,,1961," 634,097 ","+102,557    ",+19.29          ," 317,961 "," 316,136 ",,,,,
,,,1971," 803,812 ","+169,715    ",+26.76          ," 405,603 "," 398,209 ",,,,,
,,,1981," 1,035,600 ","+231,788    ",+28.84          ," 521,005 "," 514,595 ",,,,,
,,,1991," 1,351,809 ","+316,209    ",+30.53          ," 683,258 "," 668,551 ",,,,,
,,,2001," 1,669,762 ","+317,953    ",+23.52          ," 841,840 "," 827,922 ",,,,,
,,,2011," 1,928,812 ","+259,050    ",+15.51          ," 964,511 "," 964,301 ",,,,,
,,,,,,,,,,,,,
29,560,Koppal ,1901," 284,184 ",                   ----,                      ----," 142,662 "," 141,522 ",,,,,
,,,1911," 305,145 ","+20,961    ",+7.38          ," 154,244 "," 150,901 ",,,,,
,,,1921," 290,083 ","-15,062 ",-4.94 ," 147,000 "," 143,083 ",,,,,
,,,1931," 317,262 ","+27,179    ",+9.37          ," 160,119 "," 157,143 ",,,,,
,,,1941," 355,851 ","+38,589    ",+12.16          ," 180,737 "," 175,114 ",,,,,
,,,1951," 421,043 ","+65,192    ",+18.32          ," 213,975 "," 207,068 ",,,,,
,,,1961," 465,545 ","+44,502    ",+10.57          ," 235,948 "," 229,597 ",,,,,
