,,  A - 2  DECADAL VARIATION  IN  POPULATION  SINCE  1901,,,,,,,,,,,,,,,,
State,District,State/District,Census Year,Persons,Variation since the preceding census ,,Males,Females,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Code,Code,,,,Absolute,Percentage,,,,,,,,,,,,
1,2,3,4,5,6,7,8,9,,,,,,,,,,
32,000,KERALA,1901,"6,396,262",           ------,           ------,"3,191,466","3,204,796",,,,,,,,,,
,, ,1911,"7,147,673","+751,411    ",+11.75          ,"3,559,425","3,588,248",,,,,,,,,,
,,,1921,"7,802,127","+654,454    ",+9.16          ,"3,879,458","3,922,669",,,,,,,,,,
,,,1931,"9,507,050","+1,704,923    ",+21.85          ,"4,702,951","4,804,099",,,,,,,,,,
,,,1941,"11,031,541","+1,524,491    ",+16.04          ,"5,443,296","5,588,245",,,,,,,,,,
,,,1951,"13,549,118","+2,517,577    ",+22.82          ,"6,681,901","6,867,217",,,,,,,,,,
,,,1961,"16,903,715","+3,354,597    ",+24.76          ,"8,361,927","8,541,788",,,,,,,,,,
,,,1971,"21,347,375","+4,443,660    ",+26.29          ,"10,587,851","10,759,524",,,,,,,,,,
,,,1981,"25,453,680","+4,106,305    ",+19.24          ,"12,527,767","12,925,913",,,,,,,,,,
,,,1991,"29,098,518","+3,644,838    ",+14.32          ,"14,288,995","14,809,523",,,,,,,,,,
,,,2001,"31,841,374","+2,742,856    ",+9.43          ,"15,468,614","16,372,760",,,,,,,,,,
,,,2011," 33,406,061 ","+1,564,687    ",+4.91          ," 16,027,412 "," 17,378,649 ",,,,,,,,,,
,,,,,,,,,,,,,,,,,,
32,588,Kasaragod,1901,"231,280",           ------,           ------,"112,299","118,981",,,,,,,,,,
,,,1911,"247,467","+16,187    ",+7.0          ,"120,526","126,941",,,,,,,,,,
,,,1921,"256,931","+9,464    ",+3.82          ,"125,319","131,612",,,,,,,,,,
,,,1931,"302,043","+45,112    ",+17.56          ,"148,055","153,988",,,,,,,,,,
,,,1941,"342,301","+40,258    ",+13.33          ,"167,839","174,462",,,,,,,,,,
,,,1951,"411,031","+68,730    ",+20.08          ,"200,927","210,104",,,,,,,,,,
,,,1961,"512,146","+101,115    ",+24.60          ,"252,746","259,400",,,,,,,,,,
,,,1971,"683,020","+170,874    ",+33.36          ,"341,859","341,161",,,,,,,,,,
,,,1981,"872,741","+189,721    ",+27.78          ,"432,025","440,716",,,,,,,,,,
,,,1991,"1,071,508","+198,767    ",+22.78          ,"528,803","542,705",,,,,,,,,,
,,,2001,"1,204,078","+132,570    ",+12.37          ,"588,083","615,995",,,,,,,,,,
,,,2011," 1,307,375 ","+103,297    ",+8.58          ," 628,613 "," 678,762 ",,,,,,,,,,
,,,,,,,,,,,,,,,,,,
32,589, Kannur,1901,"529,623",           ------,           ------,"257,078","272,545",,,,,,,,,,
,,,1911,"565,261","+35,638    ",+6.73          ,"271,947","293,314",,,,,,,,,,
,,,1921,"578,680","+13,419    ",+2.37          ,"272,795","305,885",,,,,,,,,,
,,,1931,"662,715","+84,035    ",+14.52          ,"314,678","348,037",,,,,,,,,,
,,,1941,"743,322","+80,607    ",+12.16          ,"352,213","391,109",,,,,,,,,,
,,,1951,"904,470","+161,148    ",+21.68          ,"436,154","468,316",,,,,,,,,,
,,,1961,"1,177,948","+273,478    ",+30.24          ,"575,192","602,756",,,,,,,,,,
