,,  A - 2  DECADAL VARIATION  IN  POPULATION  SINCE  1901,,,,,,,,,,,,,,,,
State,District,Union Territory/District,Census Year,Persons,Variation since the preceding census ,,Males,Females,,,,,,,,,,
Code,Code,,,,,,,,,,,,,,,,,
,,,,,Absolute,Percentage,,,,,,,,,,,,
1,2,3,4,5,6,7,8,9,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
31,000,LAKSHADWEEP,1901,"13,882",                       -----,                        -----,"6,728","7,154",,,,,,,,,,
,, ,1911,"14,555",+673    ,+4.85          ,"7,325","7,230",,,,,,,,,,
,,,1921,"13,637",-918 ,-6.31 ,"6,727","6,910",,,,,,,,,,
,,,1931,"16,040","+2,403    ",+17.62          ,"8,045","7,995",,,,,,,,,,
,,,1941,"18,355","+2,315    ",+14.43          ,"9,096","9,259",,,,,,,,,,
,,,1951,"21,035","+2,680    ",+14.60          ,"10,295","10,740",,,,,,,,,,
,,,1961,"24,108","+3,073    ",+14.61          ,"11,935","12,173",,,,,,,,,,
,,,1971,"31,810","+7,702    ",+31.95          ,"16,078","15,732",,,,,,,,,,
,,,1981,"40,249","+8,439    ",+26.53          ,"20,377","19,872",,,,,,,,,,
,,,1991,"51,707","+11,458    ",+28.47          ,"26,618","25,089",,,,,,,,,,
,,,2001,"60,650","+8,943    ",+17.30          ,"31,131","29,519",,,,,,,,,,
,,,2011," 64,473 ","+3,823    ",+6.30          ," 33,123 "," 31,350 ",,,,,,,,,,
,,,,,,,,,,,,,,,,,,
31,587,Lakshadweep,1901,"13,882",                       -----,                        -----,"6,728","7,154",,,,,,,,,,
,,,1911,"14,555",+673    ,+4.85          ,"7,325","7,230",,,,,,,,,,
,,,1921,"13,637",-918 ,-6.31 ,"6,727","6,910",,,,,,,,,,
,,,1931,"16,040","+2,403    ",+17.62          ,"8,045","7,995",,,,,,,,,,
,,,1941,"18,355","+2,315    ",+14.43          ,"9,096","9,259",,,,,,,,,,
,,,1951,"21,035","+2,680    ",+14.60          ,"10,295","10,740",,,,,,,,,,
,,,1961,"24,108","+3,073    ",+14.61          ,"11,935","12,173",,,,,,,,,,
,,,1971,"31,810","+7,702    ",+31.95          ,"16,078","15,732",,,,,,,,,,
,,,1981,"40,249","+8,439    ",+26.53          ,"20,377","19,872",,,,,,,,,,
,,,1991,"51,707","+11,458    ",+28.47          ,"26,618","25,089",,,,,,,,,,
,,,2001,"60,650","+8,943    ",+17.30          ,"31,131","29,519",,,,,,,,,,
,,,2011," 64,473 ","+3,823    ",+6.30          ," 33,123 "," 31,350 ",,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
