,,  A - 2  DECADAL VARIATION  IN  POPULATION  SINCE  1901,,,,,,,,,,,,,,,,,
State,District,State/District,Census Year,Persons,Variation since the preceding census ,,Males,Females,,,,,,,,,,,
Code,Code,,,,,,,,,,,,,,,,,,
,,,,,Absolute,Percentage,,,,,,,,,,,,,
1,2,3,4,5,6,7,8,9,,,,,,,,,,,
23,000,MADHYA PRADESH,1901," 12,679,214 ",-,-,"*6,429,374","*6,249,840",,,,,,,,,,,
,, ,1911," 14,249,382 ","+1,570,168    ",+12.38          ," 7,245,404 "," 7,003,978 ",,,,,,,,,,,
,,,1921," 13,906,774 ","-342,608 ",-2.40 ," 7,133,621 "," 6,773,153 ",,,,,,,,,,,
,,,1931," 15,326,879 ","+1,420,105    ",+10.21          ," 7,871,541 "," 7,455,338 ",,,,,,,,,,,
,,,1941," 17,175,722 ","+1,848,843    ",+12.06          ," 8,825,634 "," 8,350,088 ",,,,,,,,,,,
,,,1951," 18,614,931 ","+1,439,209    ",+8.38          ," 9,571,722 "," 9,043,209 ",,,,,,,,,,,
,,,1961," 23,217,910 ","+4,602,979    ",+24.73          ," 12,020,106 "," 11,197,804 ",,,,,,,,,,,
,,,1971," 30,016,625 ","+6,798,715    ",+29.28          ," 15,630,250 "," 14,386,375 ",,,,,,,,,,,
,,,1981," 38,168,507 ","+8,151,882    ",+27.16          ," 19,866,607 "," 18,301,900 ",,,,,,,,,,,
,,,1991," 48,566,242 ","+10,397,735    ",+27.24          ," 25,394,673 "," 23,171,569 ",,,,,,,,,,,
,,,2001," 60,348,023 ","+11,781,781    ",+24.26          ," 31,443,652 "," 28,904,371 ",,,,,,,,,,,
,,,2011," 72,626,809 ","+12,278,786    ",+20.35          ," 37,612,306 "," 35,014,503 ",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
23,418,Sheopur,1901," 122,149 ",-,-, NA , NA ,,,,,,,,,,,
,,,1911," 120,427 ","-1,722 ",-1.41 ," 65,237 "," 55,190 ",,,,,,,,,,,
,,,1921," 110,042 ","-10,385 ",-8.62 ," 60,410 "," 49,632 ",,,,,,,,,,,
,,,1931," 120,805 ","+10,763    ",+9.78          ," 66,205 "," 54,600 ",,,,,,,,,,,
,,,1941," 137,014 ","+16,209    ",+13.42          ," 74,794 "," 62,220 ",,,,,,,,,,,
,,,1951," 151,107 ","+14,093    ",+10.29          ," 79,186 "," 71,921 ",,,,,,,,,,,
,,,1961," 192,944 ","+41,837    ",+27.69          ," 103,667 "," 89,277 ",,,,,,,,,,,
,,,1971," 242,988 ","+50,044    ",+25.94          ," 128,808 "," 114,180 ",,,,,,,,,,,
,,,1981," 323,649 ","+80,661    ",+33.20          ," 171,502 "," 152,147 ",,,,,,,,,,,
,,,1991," 431,480 ","+107,831    ",+33.32          ," 229,516 "," 201,964 ",,,,,,,,,,,
,,,2001," 559,495 ","+128,015    ",+29.67          ," 295,297 "," 264,198 ",,,,,,,,,,,
,,,2011," 687,861 ","+128,366    ",+22.94          ," 361,784 "," 326,077 ",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
23,419,Morena,1901," 390,014 ",-,-, NA , NA ,,,,,,,,,,,
,,,1911," 384,516 ","-5,498 ",-1.41 ," 208,296 "," 176,220 ",,,,,,,,,,,
,,,1921," 351,358 ","-33,158 ",-8.62 ," 192,887 "," 158,471 ",,,,,,,,,,,
