,,  A - 2  DECADAL VARIATION  IN  POPULATION  SINCE  1901,,,,,,,,,,,,,
State,District,State/District,Census Year,Persons,Variation since the preceding census ,,Males,Females,,,,,,,
Code,Code,,,,,,,,,,,,,,
,,,,,Absolute,Percentage,,,,,,,,,
1,2,3,4,5,6,7,8,9,,,,,,,
14,000,MANIPUR,1901," 284,465 ",                    ----- ,              -----," 139,632 "," 144,833 ",,,,,,,
,,,1911," 346,222 ","+61,757    ",+21.71          ," 170,666 "," 175,556 ",,,,,,,
,,,1921," 384,016 ","+37,794    ",+10.92          ," 188,119 "," 195,897 ",,,,,,,
,,,1931," 445,606 ","+61,590    ",+16.04          ," 215,815 "," 229,791 ",,,,,,,
,,,1941," 512,069 ","+66,463    ",+14.92          ," 249,183 "," 262,886 ",,,,,,,
,,,1951," 577,635 ","+65,566    ",+12.80          ," 283,685 "," 293,950 ",,,,,,,
,,,1961," 780,037 ","+202,402    ",+35.04          ," 387,058 "," 392,979 ",,,,,,,
,,,1971," 1,072,753 ","+292,716    ",+37.53          ," 541,675 "," 531,078 ",,,,,,,
,,,1981," 1,420,953 ","+348,200    ",+32.46          ," 721,006 "," 699,947 ",,,,,,,
,,,1991," 1,837,149 ","+416,196    ",+29.29          ," 938,359 "," 898,790 ",,,,,,,
,,,   2001 *," 2,293,896 ","+456,747    ",+24.86          ," 1,161,952 "," 1,131,944 ",,,,,,,
,,,2011," 2,855,794 ","+561,898    ",+24.50          ," 1,438,586 "," 1,417,208 ",,,,,,,
,,,,,,,,,,,,,,,
14,272,Senapati,1901,N.A,-,-,N.A.,N.A.,,,,,,,
,,,1911,N.A,N.A,N.A,N.A.,N.A.,,,,,,,
,,,1921,N.A,N.A,N.A,N.A.,N.A.,,,,,,,
,,,1931,N.A,N.A,N.A,N.A.,N.A.,,,,,,,
,,,1941,N.A,N.A,N.A,N.A.,N.A.,,,,,,,
,,,1951," 46,608 ",N.A,N.A," 22,991 "," 23,617 ",,,,,,,
,,,1961," 70,792 ","+24,184    ",+51.89          ," 35,371 "," 35,421 ",,,,,,,
,,,1971," 102,291 ","+31,499    ",+44.50          ," 52,496 "," 49,795 ",,,,,,,
,,,1981," 153,091 ","+50,800    ",+49.66          ," 79,411 "," 73,680 ",,,,,,,
,,,1991," 208,406 ","+55,315    ",+36.13          ," 107,310 "," 101,096 ",,,,,,,
,,,   2001 *,"283,621","+75,215    ",+36.09          ," 146,548 "," 137,073 ",,,,,,,
,,,2011," 479,148 ","+195,527    ",+68.94          ," 247,323 "," 231,825 ",,,,,,,
,,,,,,,,,,,,,,,
14,273,Tamenglong,1901,N.A,-,-,N.A.,N.A.,,,,,,,
,,,1911,N.A,N.A,N.A,N.A.,N.A.,,,,,,,
,,,1921,N.A,N.A,N.A,N.A.,N.A.,,,,,,,
,,,1931,N.A,N.A,N.A,N.A.,N.A.,,,,,,,
,,,1941,N.A,N.A,N.A,N.A.,N.A.,,,,,,,
,,,1951," 33,519 ",N.A,N.A," 15,979 "," 17,540 ",,,,,,,
,,,1961," 37,667 ","+4,148    ",+12.38          ," 18,303 "," 19,364 ",,,,,,,
,,,1971," 46,034 ","+8,367    ",+22.21          ," 22,867 "," 23,167 ",,,,,,,
,,,1981," 62,289 ","+16,255    ",+35.31          ," 31,538 "," 30,751 ",,,,,,,
