,,  A - 2  DECADAL VARIATION  IN  POPULATION  SINCE  1901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State,District,State/District,Census Year,Persons,Variation since the preceding census ,,Males,Females,,,,,,,,,,,,,,,,,,,,,,,,
Code,Code,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Absolute,Percentage,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,3,4,5,6,7,8,9,,,,,,,,,,,,,,,,,,,,,,,,
13,000,NAGALAND,1901," 101,550 ", -, -," 51,473 "," 50,077 ",,,,,,,,,,,,,,,,,,,,,,,,
,, ,1911," 149,038 ","+47,488    ",+46.76          ," 74,796 "," 74,242 ",,,,,,,,,,,,,,,,,,,,,,,,
,,,1921," 158,801 ","+9,763    ",+6.55          ," 79,738 "," 79,063 ",,,,,,,,,,,,,,,,,,,,,,,,
,,,1931," 178,844 ","+20,043    ",+12.62          ," 89,536 "," 89,308 ",,,,,,,,,,,,,,,,,,,,,,,,
,,,1941," 189,641 ","+10,797    ",+6.04          ," 93,831 "," 95,810 ",,,,,,,,,,,,,,,,,,,,,,,,
,,,1951*," 212,975 ","+16,309    ",+8.60          ," 106,551 "," 106,424 ",,,,,,,,,,,,,,,,,,,,,,,,
,,,1961**," 369,200 ","+28,975    ",+14.07          ," 191,027 "," 178,173 ",,,,,,,,,,,,,,,,,,,,,,,,
,,,1971," 516,449 ","+147,249    ",+39.88          ," 276,084 "," 240,365 ",,,,,,,,,,,,,,,,,,,,,,,,
,,,1981," 774,930 ","+258,481    ",+50.05          ," 415,910 "," 359,020 ",,,,,,,,,,,,,,,,,,,,,,,,
,,,1991," 1,209,546 ","+434,616    ",+56.08          ," 641,282 "," 568,264 ",,,,,,,,,,,,,,,,,,,,,,,,
,,,2001," 1,990,036 ","+780,490    ",+64.53          ," 1,047,141 "," 942,895 ",,,,,,,,,,,,,,,,,,,,,,,,
,,,2011," 1,978,502 ","-11,534 ",-0.58 ," 1,024,649 "," 953,853 ",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,261,Mon,1901, NA , -, -, NA , NA ,,,,,,,,,,,,,,,,,,,,,,,,
,,,1911, NA ,NA,NA, NA , NA ,,,,,,,,,,,,,,,,,,,,,,,,
,,,1921, NA ,NA,NA, NA , NA ,,,,,,,,,,,,,,,,,,,,,,,,
,,,1931, NA ,NA,NA, NA , NA ,,,,,,,,,,,,,,,,,,,,,,,,
,,,1941, NA ,NA,NA, NA , NA ,,,,,,,,,,,,,,,,,,,,,,,,
,,,1951, NA ,NA,NA, NA , NA ,,,,,,,,,,,,,,,,,,,,,,,,
,,,1961," 59,883 ",NA,NA," 30,893 "," 28,990 ",,,,,,,,,,,,,,,,,,,,,,,,
,,,1971," 76,852 ","+16,969    ",+28.34          ," 40,392 "," 36,460 ",,,,,,,,,,,,,,,,,,,,,,,,
,,,1981," 94,162 ","+17,310    ",+22.52          ," 50,253 "," 43,909 ",,,,,,,,,,,,,,,,,,,,,,,,
,,,1991," 149,699 ","+55,537    ",+58.98          ," 79,961 "," 69,738 ",,,,,,,,,,,,,,,,,,,,,,,,
,,,2001," 260,652 ","+110,953    ",+74.12          ," 138,753 "," 121,899 ",,,,,,,,,,,,,,,,,,,,,,,,
