,,  A - 2  DECADAL VARIATION  IN  POPULATION  SINCE  1901,,,,,,,,,,,,,,,,,
State,District,Union Territory/District,Census,Persons,Variation since the preceding census ,,Males,Females,,,,,,,,,,,
Code,Code,, Year,,,,,,,,,,,,,,,,
,,,,,Absolute,Percentage,,,,,,,,,,,,,
1,2,3,4,5,6,7,8,9,,,,,,,,,,,
34,000,PUDUCHERRY U.T.,1901,"246,354",-,-,N.A,N.A,,,,,,,,,,,
,, ,1911,"257,179","+10,825    ",+4.39          ,"124,961","132,218",,,,,,,,,,,
,,,1921,"244,156","-13,023 ",-5.06 ,"118,953","125,203",,,,,,,,,,,
,,,1931,"258,628","+14,472    ",+5.93          ,N.A,N.A,,,,,,,,,,,
,,,1941,"285,011","+26,383    ",+10.20          ,N.A,N.A,,,,,,,,,,,
,,,1948,"317,253","+32,242    ",+11.31          ,"156,275","160,978",,,,,,,,,,,
,,,1961,"369,079","+51,826    ",+16.34          ,"183,347","185,732",,,,,,,,,,,
,,,1971,"471,707","+102,628    ",+27.81          ,"237,112","234,595",,,,,,,,,,,
,,,1981,"604,471","+132,764    ",+28.15          ,"304,561","299,910",,,,,,,,,,,
,,,1991,"807,785","+203,314    ",+33.64          ,"408,081","399,704",,,,,,,,,,,
,,,2001,"974,345","+166,560    ",+20.62          ,"486,961","487,384",,,,,,,,,,,
,,,2011," 1,247,953 ","+273,608    ",+28.08          ," 612,511 "," 635,442 ",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
34,634,Yanam,1901,"5,005",-,-,N.A,N.A,,,,,,,,,,,
,,,1911,"5,033",+28    ,+.56          ,"2,290","2,743",,,,,,,,,,,
,,,1921,"4,630",-403 ,-8.01 ,"2,119","2,511",,,,,,,,,,,
,,,1931,"5,249",+619    ,+13.37          ,N.A,N.A,,,,,,,,,,,
,,,1941,"5,711",+462    ,+8.80          ,N.A,N.A,,,,,,,,,,,
