,,  A - 2  DECADAL VARIATION  IN  POPULATION  SINCE  1901,,,,,,,,,,,
State,District,State/District,Census Year,Persons,Variation since the preceding census ,,Males,Females,,,,,
Code,Code,,,,,,,,,,,,
,,,,,Absolute,Percentage,,,,,,,
1,2,3,4,5,6,7,8,9,,,,,
,,,,,,,,,,,,,
08,000,RAJASTHAN,1901," 10,294,090 ",                   ----- ,                 ----- ," 5,403,989 "," 4,890,101 ",,,,,
,, ,1911," 10,983,509 ","+689,419    ",+6.70          ," 5,756,206 "," 5,227,303 ",,,,,
,,,1921," 10,292,648 ","-690,861 ",-6.29 ," 5,429,378 "," 4,863,270 ",,,,,
,,,1931," 11,747,974 ","+1,455,326    ",+14.14          ," 6,160,610 "," 5,587,364 ",,,,,
,,,1941," 13,863,859 ","+2,115,885    ",+18.01          ," 7,274,679 "," 6,589,180 ",,,,,
,,,1951," 15,970,774 ","+2,106,915    ",+15.20          ," 8,313,883 "," 7,656,891 ",,,,,
,,,1961," 20,155,602 ","+4,184,828    ",+26.20          ," 10,564,082 "," 9,591,520 ",,,,,
,,,1971," 25,765,806 ","+5,610,204    ",+27.83          ," 13,484,383 "," 12,281,423 ",,,,,
,,,1981," 34,261,862 ","+8,496,056    ",+32.97          ," 17,854,154 "," 16,407,708 ",,,,,
,,,1991," 44,005,990 ","+9,744,128    ",+28.44          ," 23,042,780 "," 20,963,210 ",,,,,
,,,2001," 56,507,188 ","+12,501,198    ",+28.41          ," 29,420,011 "," 27,087,177 ",,,,,
,,,2011," 68,548,437 ","+12,041,249    ",+21.31          ," 35,550,997 "," 32,997,440 ",,,,,
,,,,,,,,,,,,,
08,099,Ganganagar,1901," 84,281 ",                   ----- ,                   ----- ," 45,479 "," 38,802 ",,,,,
,,,1911," 121,077 ","+36,796    ",+43.66          ," 66,586 "," 54,491 ",,,,,
,,,1921," 100,233 ","-20,844 ",-17.22 ," 53,976 "," 46,257 ",,,,,
,,,1931," 202,964 ","+102,731    ",+102.49          ," 112,951 "," 90,013 ",,,,,
,,,1941," 313,741 ","+110,777    ",+54.58          ," 172,975 "," 140,766 ",,,,,
,,,1951," 370,238 ","+56,497    ",+18.01          ," 202,526 "," 167,712 ",,,,,
,,,1961," 604,901 ","+234,663    ",+63.38          ," 328,150 "," 276,751 ",,,,,
,,,1971," 732,152 ","+127,251    ",+21.04          ," 393,075 "," 339,077 ",,,,,
,,,1981," 1,084,161 ","+352,009    ",+48.08          ," 583,176 "," 500,985 ",,,,,
,,,1991," 1,402,444 ","+318,283    ",+29.36          ," 751,928 "," 650,516 ",,,,,
,,,2001," 1,789,423 ","+386,979    ",+27.59          ," 955,378 "," 834,045 ",,,,,
,,,2011," 1,969,168 ","+179,745    ",+10.04          ," 1,043,340 "," 925,828 ",,,,,
,,,,,,,,,,,,,
08,100,Hanumangarh,1901," 59,161 ",                   ----- ,                 ----- ," 31,924 "," 27,237 ",,,,,
,,,1911," 84,991 ","+25,830    ",+43.66          ," 46,741 "," 38,250 ",,,,,
,,,1921," 70,360 ","-14,631 ",-17.21 ," 37,889 "," 32,471 ",,,,,
,,,1931," 142,472 ","+72,112    ",+102.49          ," 79,286 "," 63,186 ",,,,,
,,,1941," 220,233 ","+77,761    ",+54.58          ," 121,421 "," 98,812 ",,,,,
,,,1951," 259,892 ","+39,659    ",+18.01          ," 140,666 "," 119,226 ",,,,,
