,,  A - 2  DECADAL VARIATION  IN  POPULATION  SINCE  1901,,,,,,,,,,,,,
State,District,State/District,Census Year,Persons,Variation since the preceding census ,,Males,Females,,,,,,,
Code,Code,,,,,,,,,,,,,,
,,,,,Absolute,Percentage,,,,,,,,,
1,2,3,4,5,6,7,8,9,,,,,,,
,,,,,,,,,,,,,,,
16,000,TRIPURA,1901," 173,325 ",                      -----,                      -----," 92,495 "," 80,830 ",,,,,,,
,,,1911," 229,613 ","+56,288    ",+32.48          ," 121,820 "," 107,793 ",,,,,,,
,,,1921," 304,437 ","+74,824    ",+32.59          ," 161,515 "," 142,922 ",,,,,,,
,,,1931," 382,450 ","+78,013    ",+25.63          ," 202,932 "," 179,518 ",,,,,,,
,,,1941," 513,010 ","+130,560    ",+34.14          ," 272,025 "," 240,985 ",,,,,,,
,,,1951," 639,029 ","+126,019    ",+24.56          ," 335,589 "," 303,440 ",,,,,,,
,,,1961," 1,142,005 ","+502,976    ",+78.71          ," 591,237 "," 550,768 ",,,,,,,
,,,1971," 1,556,342 ","+414,337    ",+36.28          ," 801,126 "," 755,216 ",,,,,,,
,,,1981," 2,053,058 ","+496,716    ",+31.92          ," 1,054,846 "," 998,212 ",,,,,,,
,,,1991," 2,757,205 ","+704,147    ",+34.30          ," 1,417,930 "," 1,339,275 ",,,,,,,
,,,2001," 3,199,203 ","+441,998    ",+16.03          ," 1,642,225 "," 1,556,978 ",,,,,,,
,,,2011," 3,673,917 ","+474,714    ",+14.84          ," 1,874,376 "," 1,799,541 ",,,,,,,
,,,,,,,,,,,,,,,
16,289,West Tripura  ,*1901," 114,519 ",                      -----,                      -----," 61,018 "," 53,501 ",,,,,,,
,,,1911," 113,517 ", N.A. , N.A. ," 60,034 "," 53,483 ",,,,,,,
,,,1921," 142,546 ","+29,029    ",+25.57          ," 75,310 "," 67,236 ",,,,,,,
,,,1931," 173,604 ","+31,058    ",+21.79          ," 91,789 "," 81,815 ",,,,,,,
,,,1941," 235,549 ","+61,945    ",+35.68          ," 125,205 "," 110,344 ",,,,,,,
,,,1951," 321,775 ","+86,226    ",+36.61          ," 168,614 "," 153,161 ",,,,,,,
,,,1961," 571,329 ","+249,554    ",+77.56          ," 294,996 "," 276,333 ",,,,,,,
,,,1971," 747,552 ","+176,223    ",+30.84          ," 384,182 "," 363,370 ",,,,,,,
,,,1981," 976,252 ","+228,700    ",+30.59          ," 499,605 "," 476,647 ",,,,,,,
,,,1991," 1,293,861 ","+317,609    ",+32.53          ," 665,576 "," 628,285 ",,,,,,,
,,,2001," 1,532,982 ","+239,121    ",+18.48          ," 785,579 "," 747,403 ",,,,,,,
,,,2011," 1,725,739 ","+192,757    ",+12.57          ," 879,428 "," 846,311 ",,,,,,,
,,,,,,,,,,,,,,,
16,290,South Tripura  ,*1901," 25,644 ",                      -----,                      -----," 13,689 "," 11,955 ",,,,,,,
,,,1911," 60,004 ","+34,360    ",+133.99          ," 31,858 "," 28,146 ",,,,,,,
,,,1921," 73,541 ","+13,537    ",+22.56          ," 39,115 "," 34,426 ",,,,,,,
,,,1931," 93,829 ","+20,288    ",+27.59          ," 50,128 "," 43,701 ",,,,,,,
,,,1941," 123,381 ","+29,552    ",+31.50          ," 65,746 "," 57,635 ",,,,,,,
,,,1951," 133,627 ","+10,246    ",+8.30          ," 70,039 "," 63,588 ",,,,,,,
