,,A-2: DECADAL VARIATION IN POPULATION SINCE 1901,,,,,,,,
State,District,State/District,Census Year,Persons,Variation since the preceding Census,,Males,Females,,
Code,Code,,,,Absolute,Percentage,,,,
,,,,,,,,,,
1,2,3,4,5,6,7,8,9,,
,,,,,,,,,,
09,000,UTTAR PRADESH,1901,"46,647,804",-,-,"24,066,836","22,580,968",,
,,,1911,"46,012,663","-635,141",-1.36,"24,021,001","21,991,662",,
,,,1921,"44,556,427","-1,456,236",-3.16,"23,347,896","21,208,531",,
,,,1931,"47,478,533","+2,922,106    ",+6.56    ,"24,945,773","22,532,760",,
,,,1941,"53,920,630","+6,442,097    ",+13.57    ,"28,269,504","25,651,126",,
,,,1951,"60,273,743","+6,353,113    ",+11.78    ,"31,581,889","28,691,854",,
,,,1961,"70,143,635","+9,869,892    ",+16.38    ,"36,784,048","33,359,587",,
,,,1971,"83,848,797","+13,705,162    ",+19.54    ,"44,701,182","39,147,615",,
,,,1981,"105,136,540","+21,287,743    ",+25.39    ,"55,861,688","49,274,852",,
,,,1991,"132,061,653","+26,925,113    ",+25.61    ,"70,396,062","61,665,591",,
,,,2001,"166,197,921","+34,136,268    ",+25.85    ,"87,565,369","78,632,552",,
,,,2011," 199,812,341 ","+33,614,420    ",+20.23    ," 104,480,510 "," 95,331,831 ",,
,,,,,,,,,,
09,132,Saharanpur,1901,"728,601",-,-,"390,987","337,614",,
,,,1911,"687,620","-40,981",-5.62,"377,231","310,389",,
,,,1921,"653,460","-34,160",-4.97,"359,615","293,845",,
,,,1931,"727,731","+74,271    ",+11.37    ,"400,011","327,720",,
,,,1941,"822,231","+94,500    ",+12.99    ,"456,772","365,459",,
,,,1951,"942,849","+120,618    ",+14.67    ,"515,791","427,058",,
,,,1961,"1,132,537","+189,688    ",+20.12    ,"616,133","516,404",,
,,,1971,"1,414,231","+281,694    ",+24.87    ,"773,080","641,151",,
,,,1981,"1,821,543","+407,312    ",+28.80    ,"990,517","831,026",,
,,,1991,"2,309,029","+487,486    ",+26.76    ,"1,247,254","1,061,775",,
,,,2001,"2,896,863","+587,834    ",+25.46    ,"1,553,322","1,343,541",,
,,,2011," 3,466,382 ","+569,519    ",+19.66    ," 1,834,106 "," 1,632,276 ",,
,,,,,,,,,,
09,133,Muzaffarnagar,1901,"867,177",-,-,"463,856","403,321",,
,,,1911,"799,331","-67,846",-7.82,"439,855","359,476",,
,,,1921,"786,187","-13,144",-1.64,"429,879","356,308",,
,,,1931,"885,877","+99,690    ",+12.68    ,"484,501","401,376",,
,,,1941,"1,046,382","+160,505    ",+18.12    ,"573,288","473,094",,
,,,1951,"1,209,771","+163,389    ",+15.61    ,"662,699","547,072",,
,,,1961,"1,429,961","+220,190    ",+18.20    ,"776,727","653,234",,
,,,1971,"1,781,579","+351,618    ",+24.59    ,"973,047","808,532",,
,,,1981,"2,248,483","+466,904    ",+26.21    ,"1,219,893","1,028,590",,
,,,1991,"2,842,543","+594,060    ",+26.42    ,"1,528,634","1,313,909",,
,,,2001,"3,543,362","+700,819    ",+24.65    ,"1,893,832","1,649,530",,
,,,2011," 4,143,512 ","+600,150    ",+16.94    ," 2,193,434 "," 1,950,078 ",,
,,,,,,,,,,
09,134,Bijnor,1901,"776,308",-,-,"404,813","371,495",,
,,,1911,"802,166","+25,858    ",+3.33    ,"425,030","377,136",,
