,,  A - 2  DECADAL VARIATION  IN  POPULATION  SINCE  1901,,,,,,,,,,,,,,,,,
State,District,State/Union Territory/District,Census ,Persons,Variation since the preceding census ,,Males,Females,,,,,,,,,,,
Code,Code,,Year,,,,,,,,,,,,,,,,
,,,,,Absolute,Percentage,,,,,,,,,,,,,
1,2,3,4,5,6,7,8,9,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
05,000,UTTARAKHAND,1901,"1,979,866",                   ----,                       ----,"1,032,166","947,700",,,,,,,,,,,
,, ,1911,"2,142,258","+162,392    ",+8.20          ,"1,123,165","1,019,093",,,,,,,,,,,
,,,1921,"2,115,984","-26,274 ",-1.23 ,"1,104,586","1,011,398",,,,,,,,,,,
,,,1931,"2,301,019","+185,035    ",+8.74          ,"1,202,594","1,098,425",,,,,,,,,,,
,,,1941,"2,614,540","+313,521    ",+13.63          ,"1,371,233","1,243,307",,,,,,,,,,,
,,,1951,"2,945,929","+331,389    ",+12.67          ,"1,518,844","1,427,085",,,,,,,,,,,
,,,1961,"3,610,938","+665,009    ",+22.57          ,"1,854,269","1,756,669",,,,,,,,,,,
,,,1971,"4,492,724","+881,786    ",+24.42          ,"2,315,453","2,177,271",,,,,,,,,,,
,,,1981,"5,725,972","+1,233,248    ",+27.45          ,"2,957,847","2,768,125",,,,,,,,,,,
,,,1991,"7,050,634","+1,324,662    ",+23.13          ,"3,640,895","3,409,739",,,,,,,,,,,
,,,2001,"8,489,349","+1,438,715    ",+20.41          ,"4,325,924","4,163,425",,,,,,,,,,,
,,,2011," 10,086,292 ","+1,596,943    ",+18.81          ," 5,137,773 "," 4,948,519 ",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
05,056,Uttarkashi,1901,"69,209",                   ----,                       ----,"34,343","34,866",,,,,,,,,,,
,,,1911,"77,429","+8,220    ",+11.88          ,"38,213","39,216",,,,,,,,,,,
,,,1921,"81,958","+4,529    ",+5.85          ,"40,282","41,676",,,,,,,,,,,
,,,1931,"89,978","+8,020    ",+9.79          ,"44,611","45,367",,,,,,,,,,,
,,,1941,"102,280","+12,302    ",+13.67          ,"51,758","50,522",,,,,,,,,,,
,,,1951,"106,058","+3,778    ",+3.69          ,"53,214","52,844",,,,,,,,,,,
,,,1961,"122,836","+16,778    ",+15.82          ,"62,534","60,302",,,,,,,,,,,
,,,1971,"147,805","+24,969    ",+20.33          ,"77,832","69,973",,,,,,,,,,,
,,,1981,"190,948","+43,143    ",+29.19          ,"101,533","89,415",,,,,,,,,,,
,,,1991,"239,709","+48,761    ",+25.54          ,"124,978","114,731",,,,,,,,,,,
,,,2001,"295,013","+55,304    ",+23.07          ,"152,016","142,997",,,,,,,,,,,
,,,2011," 330,086 ","+35,073    ",+11.89          ," 168,597 "," 161,489 ",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
05,057,Chamoli,1901,"102,602",                   ----,                       ----,"50,497","52,105",,,,,,,,,,,
,,,1911,"114,599","+11,997    ",+11.69          ,"56,280","58,319",,,,,,,,,,,
,,,1921,"115,924","+1,325    ",+1.16          ,"55,637","60,287",,,,,,,,,,,
,,,1931,"127,559","+11,635    ",+10.04          ,"61,640","65,919",,,,,,,,,,,
,,,1941,"143,861","+16,302    ",+12.78          ,"69,278","74,583",,,,,,,,,,,
,,,1951,"152,823","+8,962    ",+6.23          ,"73,065","79,758",,,,,,,,,,,
,,,1961,"182,606","+29,783    ",+19.49          ,"87,421","95,185",,,,,,,,,,,
,,,1971,"213,629","+31,023    ",+16.99          ,"104,960","108,669",,,,,,,,,,,
,,,1981,"265,216","+51,587    ",+24.15          ,"130,981","134,235",,,,,,,,,,,
,,,1991,"325,247","+60,031    ",+22.63          ,"164,129","161,118",,,,,,,,,,,
,,,2001,"370,359","+45,112    ",+13.87          ,"183,745","186,614",,,,,,,,,,,
,,,2011," 391,605 ","+21,246    ",+5.74          ," 193,991 "," 197,614 ",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
05,058,Rudraprayag,1901,"70,510",                   ----,                       ----,"34,781","35,729",,,,,,,,,,,
,,,1911,"78,790","+8,280    ",+11.74          ,"38,747","40,043",,,,,,,,,,,
,,,1921,"80,700","+1,910    ",+2.42          ,"38,994","41,706",,,,,,,,,,,
,,,1931,"88,743","+8,043    ",+9.97          ,"43,197","45,546",,,,,,,,,,,
,,,1941,"100,305","+11,562    ",+13.03          ,"48,995","51,310",,,,,,,,,,,
,,,1951,"105,848","+5,543    ",+5.53          ,"49,333","56,515",,,,,,,,,,,
,,,1961,"119,921","+14,073    ",+13.30          ,"55,116","64,805",,,,,,,,,,,
,,,1971,"135,654","+15,733    ",+13.12          ,"62,417","73,237",,,,,,,,,,,
,,,1981,"169,743","+34,089    ",+25.13          ,"80,414","89,329",,,,,,,,,,,
,,,1991,"200,515","+30,772    ",+18.13          ,"95,745","104,770",,,,,,,,,,,
,,,2001,"227,439","+26,924    ",+13.43          ,"107,535","119,904",,,,,,,,,,,
,,,2011," 242,285 ","+14,846    ",+6.53          ," 114,589 "," 127,696 ",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
05,059,Tehri Garhwal,1901,"180,788",                   ----,                       ----,"89,722","91,066",,,,,,,,,,,
,,,1911,"202,264","+21,476    ",+11.88          ,"99,839","102,425",,,,,,,,,,,
,,,1921,"214,090","+11,826    ",+5.85          ,"105,242","108,848",,,,,,,,,,,
,,,1931,"235,038","+20,948    ",+9.78          ,"116,549","118,489",,,,,,,,,,,
,,,1941,"267,178","+32,140    ",+13.67          ,"135,223","131,955",,,,,,,,,,,
,,,1951,"277,115","+9,937    ",+3.72          ,"130,563","146,552",,,,,,,,,,,
,,,1961,"313,210","+36,095    ",+13.03          ,"142,231","170,979",,,,,,,,,,,
,,,1971,"358,117","+44,907    ",+14.34          ,"164,340","193,777",,,,,,,,,,,
,,,1981,"446,472","+88,355    ",+24.67          ,"214,577","231,895",,,,,,,,,,,
,,,1991,"520,256","+73,784    ",+16.53          ,"254,188","266,068",,,,,,,,,,,
