,,  A - 2  DECADAL VARIATION  IN  POPULATION  SINCE  1901,,,,,,,,,,
State,District,State/Union Territory/District,Census Year,Persons,Variation since the preceding census ,,Males,Females,,,,
Code,Code,,,,,,,,,,,
,,,,,Absolute,Percentage,,,,,,
1,2,3,4,5,6,7,8,9,,,,
,,,,,,,,,,,,
19,000,West Bengal,1901," 16,940,088 ",                       ---,                       ---," 8,708,978 "," 8,231,110 ",,,,
,,,1911," 17,998,769 ","+1,058,681    ",+6.25          ," 9,349,419 "," 8,649,350 ",,,,
,,,1921," 17,474,348 ","-524,421 ",-2.91 ," 9,173,148 "," 8,301,200 ",,,,
,,,1931," 18,897,036 ","+1,422,688    ",+8.14          ," 9,997,035 "," 8,900,001 ",,,,
,,,1941," 23,229,552 ","+4,332,516    ",+22.93          ," 12,545,269 "," 10,684,283 ",,,,
,,,1951," 26,299,980 ","+3,070,428    ",+13.22          ," 14,105,519 "," 12,194,461 ",,,,
,,,1961," 34,926,279 ","+8,626,299    ",+32.80          ," 18,599,144 "," 16,327,135 ",,,,
,,,1971," 44,312,011 ","+9,385,732    ",+26.87          ," 23,435,987 "," 20,876,024 ",,,,
,,,1981," 54,580,647 ","+10,268,636    ",+23.17          ," 28,560,901 "," 26,019,746 ",,,,
,,,1991," 68,077,965 ","+13,497,318    ",+24.73          ," 35,510,633 "," 32,567,332 ",,,,
,,,2001," 80,176,197 ","+12,098,232    ",+17.77          ," 41,465,985 "," 38,710,212 ",,,,
,,,2011," 91,276,115 ","+11,099,918    ",+13.84          ," 46,809,027 "," 44,467,088 ",,,,
,,,,,,,,,,,,
19,327,Darjiling,1901," 265,780 ",                       ---,                       ---," 141,697 "," 124,083 ",,,,
,,,1911," 279,899 ","+14,119    ",+5.31          ," 149,636 "," 130,263 ",,,,
,,,1921," 294,237 ","+14,338    ",+5.12          ," 155,014 "," 139,223 ",,,,
,,,1931," 332,061 ","+37,824    ",+12.85          ," 176,551 "," 155,510 ",,,,
,,,1941," 390,899 ","+58,838    ",+17.72          ," 207,508 "," 183,391 ",,,,
,,,1951," 459,617 ","+68,718    ",+17.58          ," 246,738 "," 212,879 ",,,,
,,,1961," 624,640 ","+165,023    ",+35.90          ," 335,036 "," 289,604 ",,,,
,,,1971," 781,777 ","+157,137    ",+25.16          ," 415,442 "," 366,335 ",,,,
,,,1981," 1,024,269 ","+242,492    ",+31.02          ," 542,567 "," 481,702 ",,,,
,,,1991," 1,299,919 ","+275,650    ",+26.91          ," 679,323 "," 620,596 ",,,,
,,,2001," 1,609,172 ","+309,253    ",+23.79          ," 830,644 "," 778,528 ",,,,
,,,2011," 1,846,823 ","+237,651    ",+14.77          ," 937,259 "," 909,564 ",,,,
,,,,,,,,,,,,
19,328,Jalpaiguri,1901," 546,764 ",                       ---,                       ---," 296,630 "," 250,134 ",,,,
,,,1911," 663,222 ","+116,458    ",+21.30          ," 362,649 "," 300,573 ",,,,
,,,1921," 695,946 ","+32,724    ",+4.93          ," 375,025 "," 320,921 ",,,,
,,,1931," 740,993 ","+45,047    ",+6.47          ," 404,873 "," 336,120 ",,,,
,,,1941," 847,841 ","+106,848    ",+14.42          ," 461,676 "," 386,165 ",,,,
,,,1951," 916,747 ","+68,906    ",+8.13          ," 502,280 "," 414,467 ",,,,
,,,1961," 1,359,292 ","+442,545    ",+48.27          ," 733,339 "," 625,953 ",,,,
,,,1971," 1,750,159 ","+390,867    ",+28.76          ," 927,707 "," 822,452 ",,,,
,,,1981," 2,214,871 ","+464,712    ",+26.55          ," 1,159,843 "," 1,055,028 ",,,,
,,,1991," 2,800,543 ","+585,672    ",+26.44          ," 1,453,194 "," 1,347,349 ",,,,
,,,2001," 3,401,173 ","+600,630    ",+21.45          ," 1,751,145 "," 1,650,028 ",,,,
